RiskType,Qualifier,Bucket,Label1,Label2,Amount,AmountCurrency
COMM_CURVATURE,WTI Crude,11,RW2,ICE,260807.66632734326,USD
COMM_CURVATURE,WTI Crude,3,RW3,CME,302603.1704416285,GBP
COMM_CURVATURE,Brent Crude,6,RW1,CME,193721.51701031163,GBP
COMM_CURVATURE,Brent Crude,10,RW1,ICE,414127.9435823209,EUR
COMM_CURVATURE,Brent Crude,4,RW2,CME,439265.6886807751,GBP
COMM_CURVATURE,Brent Crude,2,RW2,CME,934132.6040452207,EUR
COMM_CURVATURE,Gold,7,RW3,CME,947826.6172727818,USD
COMM_CURVATURE,Gold,9,RW2,CME,548762.4748264495,EUR
COMM_CURVATURE,Brent Crude,7,RW2,CME,764541.919647963,USD
COMM_CURVATURE,WTI Crude,6,RW1,ICE,27332.95602568913,GBP
COMM_CURVATURE,WTI Crude,7,RW3,CME,928913.4211809634,GBP
COMM_CURVATURE,Gold,3,RW3,CME,526802.1540651115,USD
COMM_CURVATURE,Gold,1,RW1,NYMEX,628708.0463308353,USD
COMM_CURVATURE,WTI Crude,3,RW3,CME,997682.8683916733,GBP
COMM_CURVATURE,Gold,2,RW1,ICE,403144.1295409816,USD
COMM_CURVATURE,Brent Crude,4,RW2,NYMEX,230647.28939404333,USD
COMM_CURVATURE,Gold,9,RW3,NYMEX,743387.7366669459,EUR
COMM_CURVATURE,Brent Crude,4,RW3,ICE,638150.7755353098,EUR
COMM_CURVATURE,Gold,4,RW1,NYMEX,633620.8899708838,USD
COMM_CURVATURE,WTI Crude,1,RW2,NYMEX,207068.2485024551,GBP
COMM_CURVATURE,Gold,2,RW3,NYMEX,728322.5616121398,GBP
COMM_CURVATURE,WTI Crude,9,RW3,ICE,724278.4401343255,USD
COMM_CURVATURE,WTI Crude,4,RW1,ICE,106435.96610667305,EUR
COMM_CURVATURE,WTI Crude,2,RW2,NYMEX,312891.5154773307,GBP
COMM_CURVATURE,WTI Crude,1,RW1,ICE,594627.8002351129,GBP
COMM_CURVATURE,WTI Crude,2,RW1,CME,577624.1643426309,EUR
COMM_CURVATURE,Gold,6,RW1,ICE,961871.2453296045,EUR
COMM_CURVATURE,Gold,1,RW1,CME,310648.84368657094,USD
COMM_CURVATURE,WTI Crude,5,RW2,CME,743932.9099364943,USD
COMM_CURVATURE,Gold,4,RW1,NYMEX,590797.3301042734,GBP
COMM_CURVATURE,WTI Crude,8,RW3,ICE,507271.1289661268,GBP
COMM_CURVATURE,Brent Crude,1,RW1,CME,936814.8102037492,USD
COMM_CURVATURE,Brent Crude,7,RW2,CME,506708.29163222364,GBP
COMM_CURVATURE,Brent Crude,7,RW2,NYMEX,168576.14019744823,GBP
COMM_CURVATURE,WTI Crude,6,RW2,ICE,851981.6886600694,USD
COMM_CURVATURE,Brent Crude,10,RW1,NYMEX,707762.6024070171,EUR
COMM_CURVATURE,WTI Crude,7,RW1,CME,774579.576339714,GBP
COMM_CURVATURE,WTI Crude,5,RW3,ICE,411896.74186898506,EUR
COMM_CURVATURE,WTI Crude,10,RW3,ICE,308674.73322121834,EUR
COMM_CURVATURE,Gold,9,RW3,CME,169490.03833727152,USD
