RiskType,Qualifier,Bucket,Label1,Label2,Amount,AmountCurrency
COMM_DELTA,Gold,9,1M,NYMEX,956723.1937632388,GBP
COMM_DELTA,Gold,2,6M,ICE,510978.1513203826,GBP
COMM_DELTA,WTI Crude,4,6M,ICE,162099.41148262713,EUR
COMM_DELTA,WTI Crude,2,6M,NYMEX,306832.61604804645,GBP
COMM_DELTA,Brent Crude,6,1M,ICE,170765.13205859036,GBP
COMM_DELTA,Gold,9,1Y,ICE,483273.66508364415,USD
COMM_DELTA,Brent Crude,11,6M,CME,29765.12885526267,EUR
COMM_DELTA,WTI Crude,6,1Y,ICE,149274.6671261137,USD
COMM_DELTA,Gold,2,1M,NYMEX,297530.8351501121,USD
COMM_DELTA,Gold,5,1M,NYMEX,725984.6385663177,USD
COMM_DELTA,WTI Crude,9,1Y,CME,52096.029654075865,USD
COMM_DELTA,Brent Crude,10,6M,NYMEX,682630.3184114797,USD
COMM_DELTA,WTI Crude,2,1M,CME,414835.9390960908,EUR
COMM_DELTA,Brent Crude,5,6M,NYMEX,750618.8792996712,GBP
COMM_DELTA,WTI Crude,10,1M,NYMEX,960204.9569814779,GBP
COMM_DELTA,Gold,3,1M,CME,377785.55841406586,GBP
COMM_DELTA,Brent Crude,5,1Y,CME,87339.01476931188,GBP
COMM_DELTA,WTI Crude,6,6M,CME,973088.1207399274,EUR
COMM_DELTA,Gold,5,1Y,CME,786030.4097215229,EUR
COMM_DELTA,Brent Crude,10,1Y,ICE,311617.5191919039,EUR
COMM_DELTA,Gold,3,1Y,ICE,106934.86553099495,EUR
COMM_DELTA,Brent Crude,3,1Y,NYMEX,225642.86451778212,GBP
COMM_DELTA,Gold,7,1M,ICE,536691.0751619216,EUR
COMM_DELTA,WTI Crude,5,1Y,NYMEX,327938.54720466776,GBP
COMM_DELTA,WTI Crude,6,6M,CME,583819.9947727566,EUR
COMM_DELTA,WTI Crude,7,1M,CME,644803.4209336883,EUR
COMM_DELTA,Gold,10,6M,NYMEX,289064.3596412068,GBP
COMM_DELTA,WTI Crude,5,1M,NYMEX,345435.25297167175,GBP
COMM_DELTA,Gold,2,6M,NYMEX,281697.8225343547,USD
COMM_DELTA,Gold,1,1Y,CME,353576.46801318496,USD
COMM_DELTA,Gold,3,1Y,ICE,417124.9875085396,USD
COMM_DELTA,Gold,7,1M,NYMEX,353660.2598836056,USD
COMM_DELTA,WTI Crude,8,6M,CME,825783.3475982087,EUR
COMM_DELTA,Brent Crude,8,1M,ICE,675865.9914635625,USD
COMM_DELTA,WTI Crude,1,1Y,ICE,773401.3636893183,USD
COMM_DELTA,Gold,6,1M,NYMEX,53941.9180640596,GBP
COMM_DELTA,WTI Crude,9,6M,ICE,671117.7110286425,GBP
COMM_DELTA,WTI Crude,6,6M,NYMEX,694816.9465708381,GBP
COMM_DELTA,Gold,10,6M,ICE,88362.98718970089,USD
COMM_DELTA,Gold,11,1M,ICE,938850.0656058696,USD
COMM_DELTA,Brent Crude,6,1Y,NYMEX,473827.19859316776,GBP
COMM_DELTA,Gold,9,1Y,NYMEX,283377.79138337635,USD
COMM_DELTA,Gold,5,6M,CME,89052.25318500595,EUR
COMM_DELTA,Brent Crude,3,6M,NYMEX,26780.037245859632,EUR
COMM_DELTA,WTI Crude,9,1M,ICE,22822.638943098988,EUR
COMM_DELTA,Gold,8,1M,CME,174360.03080814553,GBP
COMM_DELTA,Brent Crude,9,6M,CME,465701.4946405213,EUR
COMM_DELTA,Gold,2,6M,ICE,62372.28016647567,USD
COMM_DELTA,Gold,1,1Y,ICE,354387.7119874805,EUR
COMM_DELTA,WTI Crude,10,1M,ICE,770674.2065614035,USD
COMM_DELTA,Gold,1,1Y,CME,424114.051157766,EUR
COMM_DELTA,Brent Crude,5,1M,ICE,862477.6662366183,USD
COMM_DELTA,Brent Crude,7,1Y,NYMEX,719974.7012283029,USD
COMM_DELTA,Brent Crude,8,1Y,NYMEX,568179.1330717367,USD
COMM_DELTA,WTI Crude,4,1M,NYMEX,728099.8515589165,GBP
COMM_DELTA,Gold,5,1Y,CME,279359.73399169353,GBP
COMM_DELTA,WTI Crude,11,6M,CME,130485.79669141276,EUR
COMM_DELTA,Brent Crude,3,1M,ICE,43656.14222266523,EUR
COMM_DELTA,Gold,1,6M,CME,415981.7017083476,GBP
COMM_DELTA,Brent Crude,8,6M,NYMEX,180936.02910748604,GBP
COMM_DELTA,Gold,4,6M,CME,684690.2663149723,GBP
COMM_DELTA,Gold,10,6M,NYMEX,843806.5793063628,USD
COMM_DELTA,Gold,6,1M,CME,728263.1577275805,GBP
COMM_DELTA,Gold,9,1M,ICE,151923.97237212188,EUR
COMM_DELTA,Gold,4,1Y,ICE,82596.29674603643,EUR
COMM_DELTA,WTI Crude,9,6M,ICE,608926.4372294361,USD
COMM_DELTA,Gold,2,1M,NYMEX,433684.2357986512,USD
COMM_DELTA,WTI Crude,10,6M,NYMEX,612920.5960494488,USD
COMM_DELTA,Brent Crude,8,6M,CME,209987.4671051129,GBP
COMM_DELTA,WTI Crude,3,6M,NYMEX,674886.3438826882,USD
COMM_DELTA,Brent Crude,7,6M,CME,853410.8552062334,EUR
COMM_DELTA,Gold,2,1M,CME,905581.9250943689,USD
COMM_DELTA,Brent Crude,4,6M,CME,859207.6372995689,EUR
COMM_DELTA,Gold,6,1M,NYMEX,871688.992006514,EUR
COMM_DELTA,Brent Crude,7,6M,ICE,903241.9041137589,EUR
COMM_DELTA,WTI Crude,1,1M,NYMEX,341766.58852569317,USD
COMM_DELTA,Gold,8,1Y,ICE,558665.3823651057,USD
COMM_DELTA,Gold,9,1Y,NYMEX,567291.3290939472,EUR
COMM_DELTA,Gold,7,1M,CME,358058.9785634702,GBP
COMM_DELTA,Brent Crude,9,1M,ICE,854509.3665531348,USD
COMM_DELTA,Brent Crude,9,6M,ICE,626904.3094144537,USD
COMM_DELTA,Gold,1,1Y,NYMEX,942156.3793874236,EUR
COMM_DELTA,Gold,2,1M,CME,642320.2154768169,USD
COMM_DELTA,Brent Crude,6,1Y,CME,204624.49756226683,EUR
COMM_DELTA,Brent Crude,11,1Y,ICE,883209.3335379325,USD
COMM_DELTA,WTI Crude,4,6M,ICE,882193.9125575518,EUR
COMM_DELTA,Brent Crude,10,6M,CME,575695.2136828793,EUR
COMM_DELTA,Gold,4,6M,CME,495400.44000594894,GBP
COMM_DELTA,WTI Crude,2,1M,CME,974283.5753629736,EUR
COMM_DELTA,Brent Crude,11,1Y,CME,270701.69937785715,GBP
COMM_DELTA,Brent Crude,7,1Y,CME,514018.6066429741,GBP
COMM_DELTA,Brent Crude,7,1Y,CME,841568.465258405,GBP
COMM_DELTA,Brent Crude,9,6M,NYMEX,745280.7762875895,USD
COMM_DELTA,WTI Crude,2,1Y,NYMEX,330738.8401165655,EUR
COMM_DELTA,WTI Crude,6,6M,ICE,393266.2282083585,USD
COMM_DELTA,Gold,2,1M,ICE,270819.6182124639,GBP
COMM_DELTA,Brent Crude,8,6M,CME,512051.74157100084,GBP
COMM_DELTA,Brent Crude,7,6M,CME,707677.4563664455,EUR
COMM_DELTA,Brent Crude,4,1Y,NYMEX,823710.5284839243,GBP
COMM_DELTA,WTI Crude,4,1M,ICE,355390.8277565829,GBP
COMM_DELTA,Brent Crude,3,1M,ICE,147704.16461972435,EUR
COMM_DELTA,WTI Crude,8,1Y,ICE,691043.1353414119,USD
COMM_DELTA,WTI Crude,1,1Y,CME,470181.6475604814,GBP
COMM_DELTA,Brent Crude,4,1Y,CME,731035.5812328509,EUR
COMM_DELTA,Gold,10,1M,ICE,859902.8686410182,USD
COMM_DELTA,WTI Crude,9,6M,CME,111421.50346639683,GBP
COMM_DELTA,Gold,2,1Y,ICE,986392.3047416661,EUR
COMM_DELTA,Brent Crude,9,1Y,CME,369773.5923942254,USD
COMM_DELTA,Gold,2,1Y,CME,746123.9328751685,EUR
