RiskType,Qualifier,Bucket,Label1,Label2,Amount,AmountCurrency
COMM_VEGA,Gold,3,1M,ICE,580453.8404011646,GBP
COMM_VEGA,Brent Crude,3,1Y,ICE,586872.3983062565,GBP
COMM_VEGA,WTI Crude,11,1Y,NYMEX,107217.48949777301,GBP
COMM_VEGA,Brent Crude,11,1M,ICE,680341.7509602224,EUR
COMM_VEGA,Gold,4,6M,NYMEX,703824.8920597185,USD
COMM_VEGA,Gold,1,6M,NYMEX,581044.4777211711,GBP
COMM_VEGA,WTI Crude,9,6M,CME,912775.734482408,EUR
COMM_VEGA,Brent Crude,4,1M,CME,129360.34373691284,USD
COMM_VEGA,WTI Crude,7,6M,NYMEX,394141.2152193736,USD
COMM_VEGA,WTI Crude,4,6M,ICE,216806.51219433348,GBP
COMM_VEGA,Gold,7,1M,NYMEX,708109.9842547762,EUR
COMM_VEGA,Brent Crude,4,1Y,ICE,714872.3434695571,EUR
COMM_VEGA,WTI Crude,8,1Y,NYMEX,818712.1784967794,GBP
COMM_VEGA,Brent Crude,5,1Y,NYMEX,87368.08899012586,USD
COMM_VEGA,WTI Crude,10,1Y,NYMEX,167427.18694969075,GBP
COMM_VEGA,Brent Crude,5,1Y,CME,114969.25666234884,USD
COMM_VEGA,Brent Crude,9,1M,CME,31012.89406924846,USD
COMM_VEGA,Brent Crude,5,1M,ICE,247097.65556823817,EUR
COMM_VEGA,WTI Crude,5,1Y,CME,615083.6991714315,USD
COMM_VEGA,Gold,10,6M,ICE,641050.2667757815,USD
COMM_VEGA,WTI Crude,7,1Y,ICE,779893.1338860778,GBP
COMM_VEGA,Brent Crude,2,6M,NYMEX,513175.0641153571,USD
COMM_VEGA,Gold,11,6M,CME,290260.3754874172,USD
COMM_VEGA,Brent Crude,9,6M,CME,311471.6127841913,GBP
COMM_VEGA,Gold,5,6M,NYMEX,780644.6082345466,USD
COMM_VEGA,WTI Crude,11,6M,CME,275297.1874366315,GBP
COMM_VEGA,Brent Crude,5,1Y,CME,366172.04315038415,EUR
COMM_VEGA,WTI Crude,7,1Y,CME,919391.5069115027,EUR
COMM_VEGA,Gold,9,6M,NYMEX,732696.8214186965,EUR
COMM_VEGA,WTI Crude,11,6M,NYMEX,34986.2456154972,USD
COMM_VEGA,Gold,2,6M,NYMEX,771071.054946891,GBP
COMM_VEGA,Gold,8,1M,NYMEX,793499.3259950319,EUR
COMM_VEGA,WTI Crude,1,1M,NYMEX,14142.193275671973,EUR
COMM_VEGA,Brent Crude,8,1M,NYMEX,328457.8171067897,EUR
COMM_VEGA,WTI Crude,9,1Y,NYMEX,386277.97599172976,USD
COMM_VEGA,WTI Crude,10,6M,ICE,54077.44813477626,GBP
COMM_VEGA,WTI Crude,3,1Y,CME,593558.616853187,EUR
COMM_VEGA,Brent Crude,10,1Y,ICE,832401.6866436908,GBP
COMM_VEGA,Brent Crude,2,1Y,CME,385529.16372814064,USD
COMM_VEGA,WTI Crude,2,1Y,NYMEX,73891.64528092193,GBP
COMM_VEGA,Brent Crude,10,1M,ICE,518862.46519245283,EUR
COMM_VEGA,Brent Crude,5,1M,CME,958022.5322804828,GBP
COMM_VEGA,WTI Crude,2,6M,ICE,854547.5482268728,USD
COMM_VEGA,Brent Crude,7,1M,NYMEX,630818.1352422382,GBP
COMM_VEGA,Gold,11,1Y,CME,401238.2748017317,USD
COMM_VEGA,Gold,8,1M,ICE,383361.0589293338,USD
COMM_VEGA,Brent Crude,4,1Y,CME,802090.969844337,USD
COMM_VEGA,Gold,1,1M,CME,955020.8371814837,USD
COMM_VEGA,Brent Crude,5,6M,NYMEX,69183.45303014707,USD
COMM_VEGA,Brent Crude,10,1M,ICE,89541.19149606866,EUR
COMM_VEGA,Brent Crude,4,6M,CME,877570.9340699203,EUR
COMM_VEGA,Gold,6,1Y,ICE,971807.0350856734,USD
COMM_VEGA,Gold,4,1Y,ICE,385433.40937432693,GBP
COMM_VEGA,Gold,11,1Y,CME,743675.9303151775,USD
COMM_VEGA,Gold,9,1M,NYMEX,750753.763134995,USD
COMM_VEGA,Brent Crude,2,6M,CME,368056.51130658167,EUR
COMM_VEGA,Brent Crude,5,1Y,ICE,387500.22382606636,USD
COMM_VEGA,Brent Crude,11,6M,ICE,376125.0768451873,USD
COMM_VEGA,Brent Crude,1,1M,NYMEX,165064.7195042791,GBP
COMM_VEGA,WTI Crude,4,1M,ICE,820065.7218233435,USD
COMM_VEGA,Brent Crude,4,6M,CME,260428.85796023035,GBP
COMM_VEGA,Gold,9,1Y,NYMEX,653680.8906088413,EUR
COMM_VEGA,Brent Crude,3,1Y,ICE,250194.17250562515,USD
COMM_VEGA,Brent Crude,7,1M,NYMEX,659761.6302030626,EUR
COMM_VEGA,Brent Crude,6,6M,CME,711724.2822142105,GBP
COMM_VEGA,Brent Crude,1,1M,CME,800730.5651680747,USD
COMM_VEGA,Gold,5,6M,ICE,169210.17905603445,GBP
COMM_VEGA,Brent Crude,4,1M,CME,227457.375521928,USD
COMM_VEGA,Brent Crude,7,1Y,ICE,497921.35094804957,USD
COMM_VEGA,Gold,2,1Y,CME,617630.1875059532,GBP
