RiskType,Qualifier,Bucket,Label1,Label2,Amount,AmountCurrency,CreditQuality
CSR_NS_CURVATURE,JP Morgan,4,RW2,Bond,486204.1303159912,USD,BBB+
CSR_NS_CURVATURE,Citi Group,8,RW1,CDS,449850.8572999373,EUR,BBB+
CSR_NS_CURVATURE,JP Morgan,2,RW1,CDS,905209.3048725843,EUR,BBB+
CSR_NS_CURVATURE,JP Morgan,8,RW2,CDS,707050.0626738631,USD,AA+
CSR_NS_CURVATURE,JP Morgan,10,RW3,CDS,498147.9355676403,EUR,A-
CSR_NS_CURVATURE,Citi Group,7,RW3,CDS,155522.0218364685,USD,A-
CSR_NS_CURVATURE,Goldman Sachs,11,RW2,Bond,479931.52640033007,USD,AA+
CSR_NS_CURVATURE,JP Morgan,11,RW1,CDS,751909.0322500058,USD,A-
CSR_NS_CURVATURE,Citi Group,16,RW1,CDS,249536.85261972624,GBP,A-
CSR_NS_CURVATURE,Goldman Sachs,17,RW2,CDS,887484.4044813751,EUR,AA+
CSR_NS_CURVATURE,Goldman Sachs,5,RW1,CDS,323586.2467836818,GBP,BBB+
CSR_NS_CURVATURE,Goldman Sachs,8,RW3,Bond,982393.6762643488,USD,AA+
CSR_NS_CURVATURE,Citi Group,2,RW2,Bond,603308.7064402665,GBP,BBB+
CSR_NS_CURVATURE,JP Morgan,1,RW2,CDS,199346.72646379666,GBP,BBB+
CSR_NS_CURVATURE,Goldman Sachs,10,RW1,CDS,932112.3877086143,EUR,AA+
CSR_NS_CURVATURE,Citi Group,7,RW2,CDS,604089.7830678581,USD,BBB+
CSR_NS_CURVATURE,Goldman Sachs,15,RW2,Bond,821709.1776915833,EUR,A-
CSR_NS_CURVATURE,JP Morgan,18,RW2,Bond,864022.277007671,GBP,AA+
CSR_NS_CURVATURE,JP Morgan,1,RW2,Bond,393526.51038454723,USD,BBB+
CSR_NS_CURVATURE,Goldman Sachs,14,RW3,CDS,169285.3737708981,USD,AA+
CSR_NS_CURVATURE,JP Morgan,5,RW3,CDS,668712.5272081059,GBP,A-
CSR_NS_CURVATURE,Goldman Sachs,3,RW1,CDS,665434.3623150382,EUR,AA+
CSR_NS_CURVATURE,Citi Group,15,RW1,CDS,731785.0041671654,GBP,AA+
CSR_NS_CURVATURE,Citi Group,6,RW1,CDS,55198.75808201121,USD,AA+
CSR_NS_CURVATURE,Goldman Sachs,17,RW3,CDS,851117.5153850877,EUR,A-
CSR_NS_CURVATURE,JP Morgan,4,RW1,Bond,761021.865923716,EUR,BBB+
CSR_NS_CURVATURE,Goldman Sachs,11,RW3,CDS,941985.0655403957,USD,AA+
CSR_NS_CURVATURE,Citi Group,5,RW2,Bond,159449.8488944113,GBP,AA+
CSR_NS_CURVATURE,Goldman Sachs,12,RW1,CDS,261647.88415207638,EUR,AA+
CSR_NS_CURVATURE,Goldman Sachs,15,RW1,Bond,28757.695023604567,USD,A-
CSR_NS_CURVATURE,Citi Group,15,RW3,CDS,214918.74436819236,EUR,A-
CSR_NS_CURVATURE,Citi Group,11,RW2,CDS,130546.64915926733,USD,AA+
CSR_NS_CURVATURE,Citi Group,17,RW3,CDS,587626.8670487793,EUR,A-
CSR_NS_CURVATURE,Citi Group,14,RW2,CDS,54087.23442921776,EUR,AA+
CSR_NS_CURVATURE,Citi Group,7,RW3,Bond,738292.1052305913,GBP,BBB+
CSR_NS_CURVATURE,Goldman Sachs,6,RW1,Bond,781671.1700770257,USD,BBB+
CSR_NS_CURVATURE,Citi Group,11,RW1,CDS,207255.72929264818,GBP,AA+
CSR_NS_CURVATURE,JP Morgan,6,RW3,CDS,583090.9328858784,EUR,A-
CSR_NS_CURVATURE,Citi Group,3,RW1,CDS,145142.0846167752,EUR,BBB+
CSR_NS_CURVATURE,Citi Group,11,RW3,CDS,376134.1662308639,EUR,A-
CSR_NS_CURVATURE,Goldman Sachs,14,RW2,Bond,713831.6192452558,GBP,A-
CSR_NS_CURVATURE,Citi Group,5,RW2,Bond,52850.68767029033,GBP,AA+
CSR_NS_CURVATURE,Goldman Sachs,17,RW1,Bond,807140.0069831007,GBP,AA+
CSR_NS_CURVATURE,Goldman Sachs,9,RW3,Bond,991830.1914135389,USD,A-
CSR_NS_CURVATURE,Goldman Sachs,11,RW3,CDS,830947.560357459,GBP,BBB+
CSR_NS_CURVATURE,Goldman Sachs,5,RW2,CDS,844330.9384126195,EUR,AA+
CSR_NS_CURVATURE,Goldman Sachs,7,RW3,CDS,484826.3007987732,USD,A-
CSR_NS_CURVATURE,Citi Group,13,RW3,CDS,392918.1709333195,EUR,BBB+
CSR_NS_CURVATURE,Goldman Sachs,6,RW3,CDS,598634.2976196636,USD,A-
CSR_NS_CURVATURE,Goldman Sachs,3,RW3,Bond,58543.60673151311,USD,BBB+
