RiskType,Qualifier,Bucket,Label1,Label2,Amount,AmountCurrency,CreditQuality
CSR_NS_DELTA,Goldman Sachs,11,10Y,Bond,149409.80730473585,EUR,BBB+
CSR_NS_DELTA,JP Morgan,6,5Y,CDS,849595.907127827,USD,A-
CSR_NS_DELTA,Goldman Sachs,16,10Y,Bond,21238.01405119537,USD,A-
CSR_NS_DELTA,Goldman Sachs,13,1Y,Bond,219051.8279211584,GBP,AA+
CSR_NS_DELTA,JP Morgan,4,5Y,Bond,549000.5799764177,GBP,A-
CSR_NS_DELTA,JP Morgan,12,5Y,Bond,944940.5288284089,GBP,BBB+
CSR_NS_DELTA,Citi Group,1,5Y,Bond,171077.47908673895,EUR,A-
CSR_NS_DELTA,Goldman Sachs,11,10Y,Bond,658118.7461810904,USD,A-
CSR_NS_DELTA,Citi Group,2,1Y,CDS,482891.04759403836,EUR,BBB+
CSR_NS_DELTA,Goldman Sachs,5,10Y,Bond,747712.1474687019,GBP,AA+
CSR_NS_DELTA,JP Morgan,5,1Y,CDS,799126.2305356422,EUR,BBB+
CSR_NS_DELTA,Citi Group,1,10Y,CDS,803847.0220766055,EUR,AA+
CSR_NS_DELTA,Goldman Sachs,6,5Y,CDS,792945.4029800292,GBP,A-
CSR_NS_DELTA,Goldman Sachs,5,5Y,CDS,725329.4917189674,USD,A-
CSR_NS_DELTA,Citi Group,7,1Y,Bond,511470.633889507,USD,A-
CSR_NS_DELTA,JP Morgan,18,5Y,Bond,846703.261403097,GBP,A-
CSR_NS_DELTA,Citi Group,1,1Y,CDS,994083.8773352402,EUR,BBB+
CSR_NS_DELTA,Citi Group,9,10Y,Bond,518789.13870931993,GBP,A-
CSR_NS_DELTA,JP Morgan,12,10Y,CDS,634715.2423367689,EUR,BBB+
CSR_NS_DELTA,JP Morgan,7,10Y,CDS,30032.521780652794,USD,A-
CSR_NS_DELTA,JP Morgan,16,10Y,CDS,426682.25588803284,GBP,AA+
