RiskType,Qualifier,Bucket,Label1,Label2,Amount,AmountCurrency,CreditQuality
CSR_NS_VEGA,Citi Group,18,5Y,Bond,390327.1761171883,EUR,AA+
CSR_NS_VEGA,Citi Group,5,10Y,Bond,689120.029914706,GBP,AA+
CSR_NS_VEGA,Citi Group,15,1Y,Bond,111654.41680979707,USD,A-
CSR_NS_VEGA,JP Morgan,4,5Y,Bond,828078.1497497582,GBP,AA+
CSR_NS_VEGA,Goldman Sachs,2,5Y,CDS,501748.64573925163,USD,AA+
CSR_NS_VEGA,Goldman Sachs,3,1Y,CDS,160709.65860431857,GBP,A-
CSR_NS_VEGA,JP Morgan,18,10Y,Bond,417518.25973515643,EUR,AA+
CSR_NS_VEGA,Citi Group,8,10Y,Bond,634088.0127101779,GBP,BBB+
CSR_NS_VEGA,Citi Group,1,5Y,CDS,460792.3394343854,EUR,AA+
CSR_NS_VEGA,Goldman Sachs,4,5Y,CDS,173524.27729577743,USD,A-
CSR_NS_VEGA,JP Morgan,2,5Y,Bond,817879.2312132056,GBP,AA+
CSR_NS_VEGA,Citi Group,17,5Y,Bond,175768.89894633603,USD,A-
CSR_NS_VEGA,JP Morgan,13,5Y,CDS,230283.51299868352,USD,A-
CSR_NS_VEGA,JP Morgan,18,10Y,Bond,945515.578010752,USD,A-
CSR_NS_VEGA,JP Morgan,9,1Y,Bond,21709.487741864963,USD,A-
CSR_NS_VEGA,JP Morgan,11,10Y,Bond,548229.5592536879,GBP,A-
CSR_NS_VEGA,Citi Group,6,1Y,CDS,931869.5140752875,EUR,A-
CSR_NS_VEGA,JP Morgan,1,10Y,Bond,359287.22830214753,EUR,AA+
CSR_NS_VEGA,JP Morgan,8,5Y,Bond,615948.5192139788,USD,A-
CSR_NS_VEGA,JP Morgan,11,5Y,CDS,765645.8044927676,GBP,AA+
CSR_NS_VEGA,Goldman Sachs,7,1Y,CDS,391027.29186781263,GBP,A-
CSR_NS_VEGA,Citi Group,10,5Y,CDS,686407.5231144886,USD,A-
CSR_NS_VEGA,JP Morgan,2,10Y,Bond,338243.6882344373,GBP,A-
CSR_NS_VEGA,Citi Group,13,10Y,Bond,420307.6489740359,GBP,AA+
CSR_NS_VEGA,Goldman Sachs,9,5Y,CDS,269740.16422523744,GBP,BBB+
CSR_NS_VEGA,JP Morgan,4,10Y,CDS,49657.146589941796,EUR,BBB+
CSR_NS_VEGA,JP Morgan,14,10Y,Bond,567431.7694197706,USD,AA+
CSR_NS_VEGA,Citi Group,8,1Y,CDS,313342.7615437498,EUR,BBB+
CSR_NS_VEGA,JP Morgan,11,5Y,CDS,79727.55420275632,EUR,BBB+
CSR_NS_VEGA,Citi Group,6,10Y,Bond,950714.387975509,GBP,BBB+
CSR_NS_VEGA,Citi Group,13,1Y,Bond,858022.971909778,EUR,A-
CSR_NS_VEGA,Goldman Sachs,6,5Y,CDS,929910.7328594088,GBP,BBB+
CSR_NS_VEGA,Goldman Sachs,15,5Y,CDS,970087.1881535804,EUR,BBB+
CSR_NS_VEGA,Goldman Sachs,1,5Y,Bond,813878.1563988634,EUR,BBB+
CSR_NS_VEGA,Goldman Sachs,8,10Y,CDS,556773.9683700108,GBP,BBB+
CSR_NS_VEGA,Citi Group,14,1Y,Bond,171297.2740179401,GBP,BBB+
CSR_NS_VEGA,Citi Group,7,5Y,Bond,493062.57497545634,USD,BBB+
CSR_NS_VEGA,JP Morgan,1,1Y,CDS,807818.8372018212,GBP,A-
CSR_NS_VEGA,Citi Group,5,1Y,Bond,891402.2553797401,USD,AA+
CSR_NS_VEGA,JP Morgan,15,5Y,Bond,374136.16721931665,GBP,BBB+
