RiskType,Qualifier,Bucket,Label1,Label2,Amount,AmountCurrency
EQ_CURVATURE,Google LLC,11,RW3,SPOT,675097.6037784375,GBP
EQ_CURVATURE,Google LLC,1,RW2,SPOT,222498.13610308158,GBP
EQ_CURVATURE,Google LLC,7,RW3,SPOT,415590.4430006664,EUR
EQ_CURVATURE,Apple Inc.,2,RW3,SPOT,734491.1823927194,USD
EQ_CURVATURE,Microsoft Corp.,4,RW2,REPO,324091.58520463563,EUR
EQ_CURVATURE,Microsoft Corp.,12,RW2,REPO,93050.43414028625,USD
EQ_CURVATURE,Apple Inc.,12,RW1,SPOT,582651.2297253769,EUR
EQ_CURVATURE,Google LLC,4,RW1,REPO,223015.79165194085,USD
EQ_CURVATURE,Google LLC,5,RW1,SPOT,862296.8181835714,EUR
EQ_CURVATURE,Apple Inc.,11,RW1,REPO,816283.1049823855,EUR
EQ_CURVATURE,Apple Inc.,4,RW1,REPO,427200.8560075995,GBP
EQ_CURVATURE,Google LLC,12,RW2,REPO,363250.5999534997,EUR
EQ_CURVATURE,Google LLC,8,RW3,SPOT,86279.39333388954,GBP
EQ_CURVATURE,Apple Inc.,7,RW2,SPOT,507307.85188812786,USD
EQ_CURVATURE,Google LLC,10,RW1,REPO,330107.34607855714,GBP
EQ_CURVATURE,Microsoft Corp.,9,RW3,SPOT,609369.6429844731,GBP
EQ_CURVATURE,Microsoft Corp.,9,RW1,SPOT,265710.0881065926,EUR
EQ_CURVATURE,Google LLC,9,RW3,SPOT,59555.62224883326,GBP
EQ_CURVATURE,Microsoft Corp.,7,RW2,REPO,374212.11760720663,EUR
EQ_CURVATURE,Microsoft Corp.,3,RW3,SPOT,699799.646597633,EUR
EQ_CURVATURE,Microsoft Corp.,11,RW2,SPOT,700628.3177375472,EUR
EQ_CURVATURE,Google LLC,3,RW1,SPOT,283351.644491397,EUR
EQ_CURVATURE,Apple Inc.,4,RW1,SPOT,955559.6845589797,USD
EQ_CURVATURE,Google LLC,6,RW3,SPOT,999660.5054386336,EUR
EQ_CURVATURE,Google LLC,1,RW2,SPOT,678199.5811880776,USD
EQ_CURVATURE,Microsoft Corp.,7,RW2,SPOT,618109.408552027,GBP
EQ_CURVATURE,Microsoft Corp.,3,RW3,SPOT,150812.01217530918,GBP
EQ_CURVATURE,Google LLC,11,RW2,REPO,141973.19258434392,USD
EQ_CURVATURE,Microsoft Corp.,5,RW1,SPOT,712003.0359328861,GBP
EQ_CURVATURE,Apple Inc.,7,RW1,SPOT,862827.3053575571,USD
EQ_CURVATURE,Apple Inc.,4,RW1,REPO,545542.0420790049,EUR
EQ_CURVATURE,Microsoft Corp.,6,RW3,SPOT,100511.93643911176,EUR
EQ_CURVATURE,Apple Inc.,10,RW1,SPOT,771882.462052745,USD
EQ_CURVATURE,Apple Inc.,4,RW2,SPOT,237555.62204648528,GBP
EQ_CURVATURE,Google LLC,12,RW3,REPO,743642.2993486668,GBP
EQ_CURVATURE,Apple Inc.,12,RW2,REPO,290240.31772612216,GBP
EQ_CURVATURE,Google LLC,8,RW2,SPOT,147922.93221248488,EUR
EQ_CURVATURE,Microsoft Corp.,2,RW3,SPOT,826851.6602562552,USD
EQ_CURVATURE,Apple Inc.,12,RW1,SPOT,244008.30216161106,EUR
