RiskType,Qualifier,Bucket,Label1,Label2,Amount,AmountCurrency
EQ_DELTA,Google LLC,2,1Y,SPOT,997309.6802117227,GBP
EQ_DELTA,Apple Inc.,4,5Y,REPO,45702.789021479264,GBP
EQ_DELTA,Google LLC,8,1Y,SPOT,354808.13950289635,USD
EQ_DELTA,Google LLC,1,1Y,REPO,23032.21488509506,USD
EQ_DELTA,Microsoft Corp.,11,5Y,SPOT,243449.6623746716,EUR
EQ_DELTA,Apple Inc.,3,10Y,REPO,478667.84523923724,GBP
EQ_DELTA,Microsoft Corp.,2,10Y,SPOT,727853.3329205691,GBP
EQ_DELTA,Microsoft Corp.,7,5Y,REPO,795278.9138786141,EUR
EQ_DELTA,Google LLC,12,1Y,SPOT,670279.8508866138,USD
EQ_DELTA,Google LLC,6,1Y,REPO,586073.3509628929,GBP
EQ_DELTA,Google LLC,2,10Y,SPOT,253390.25943780754,USD
EQ_DELTA,Apple Inc.,5,1Y,SPOT,261064.16073372753,EUR
EQ_DELTA,Microsoft Corp.,2,5Y,SPOT,931079.2838079939,GBP
EQ_DELTA,Apple Inc.,6,1Y,SPOT,799482.7936374436,GBP
EQ_DELTA,Apple Inc.,9,1Y,REPO,347088.3794239651,GBP
EQ_DELTA,Microsoft Corp.,1,1Y,REPO,284869.509400215,GBP
EQ_DELTA,Microsoft Corp.,8,1Y,SPOT,315683.7173446985,GBP
EQ_DELTA,Microsoft Corp.,7,1Y,SPOT,689474.2444660373,USD
EQ_DELTA,Google LLC,3,10Y,SPOT,430110.6891492359,GBP
EQ_DELTA,Apple Inc.,8,5Y,REPO,11936.67964791588,EUR
EQ_DELTA,Apple Inc.,9,1Y,SPOT,381935.83371712035,EUR
EQ_DELTA,Microsoft Corp.,1,10Y,REPO,683388.1260686183,GBP
EQ_DELTA,Apple Inc.,12,5Y,REPO,721520.1790084518,GBP
EQ_DELTA,Google LLC,7,1Y,SPOT,277409.0391497138,USD
EQ_DELTA,Apple Inc.,9,10Y,REPO,703057.8601360406,GBP
EQ_DELTA,Microsoft Corp.,3,1Y,SPOT,97698.29227482068,USD
EQ_DELTA,Apple Inc.,3,10Y,SPOT,848494.4994517295,GBP
EQ_DELTA,Microsoft Corp.,5,1Y,SPOT,637175.4213881111,USD
EQ_DELTA,Microsoft Corp.,7,1Y,REPO,845240.9109877622,EUR
EQ_DELTA,Google LLC,8,5Y,SPOT,832677.767842511,GBP
EQ_DELTA,Apple Inc.,12,5Y,SPOT,892299.7685663305,USD
EQ_DELTA,Google LLC,3,1Y,REPO,850445.9336548252,USD
EQ_DELTA,Apple Inc.,12,1Y,REPO,101994.47259797105,EUR
EQ_DELTA,Google LLC,2,5Y,REPO,698388.9858826788,EUR
EQ_DELTA,Apple Inc.,8,5Y,SPOT,797888.8709065048,EUR
EQ_DELTA,Google LLC,9,10Y,REPO,765813.452442916,USD
EQ_DELTA,Apple Inc.,9,5Y,REPO,977476.3421402442,EUR
EQ_DELTA,Google LLC,1,1Y,REPO,814546.886437782,GBP
EQ_DELTA,Microsoft Corp.,4,5Y,SPOT,859447.9791189245,EUR
EQ_DELTA,Apple Inc.,13,5Y,REPO,376217.1043720751,GBP
EQ_DELTA,Microsoft Corp.,5,1Y,SPOT,961340.5518605757,EUR
EQ_DELTA,Apple Inc.,7,5Y,SPOT,993804.7049022642,EUR
EQ_DELTA,Apple Inc.,12,5Y,SPOT,743327.0605204792,GBP
EQ_DELTA,Apple Inc.,9,10Y,SPOT,88942.82927663303,USD
EQ_DELTA,Microsoft Corp.,7,1Y,SPOT,651400.2088404046,USD
