RiskType,Qualifier,Bucket,Label1,Label2,Amount,AmountCurrency
EQ_VEGA,Microsoft Corp.,8,1Y,SPOT,277271.1048288521,USD
EQ_VEGA,Google LLC,2,1Y,SPOT,285788.76725025295,EUR
EQ_VEGA,Microsoft Corp.,4,6M,SPOT,509800.7042204777,USD
EQ_VEGA,Microsoft Corp.,9,6M,REPO,798994.2131587494,EUR
EQ_VEGA,Apple Inc.,7,6M,SPOT,96380.09353085488,USD
EQ_VEGA,Microsoft Corp.,6,1M,SPOT,61087.14852024662,EUR
EQ_VEGA,Google LLC,8,6M,REPO,614667.0981661222,USD
EQ_VEGA,Apple Inc.,4,1M,REPO,708288.8120846549,GBP
EQ_VEGA,Google LLC,12,1M,REPO,97888.68231479806,EUR
EQ_VEGA,Microsoft Corp.,12,1M,SPOT,498310.80938643066,GBP
EQ_VEGA,Apple Inc.,4,1M,SPOT,200999.73981815312,USD
EQ_VEGA,Apple Inc.,2,1Y,REPO,414571.3296789527,USD
EQ_VEGA,Apple Inc.,9,1Y,REPO,430780.0760453578,EUR
EQ_VEGA,Microsoft Corp.,6,6M,REPO,726249.8937414044,GBP
EQ_VEGA,Apple Inc.,7,1M,SPOT,53267.07109775453,USD
EQ_VEGA,Google LLC,13,1M,REPO,589115.9749649036,EUR
EQ_VEGA,Microsoft Corp.,10,1M,REPO,929798.2496373757,EUR
EQ_VEGA,Apple Inc.,13,1M,SPOT,472227.2082078104,USD
EQ_VEGA,Apple Inc.,8,1M,SPOT,544597.5246527832,GBP
EQ_VEGA,Microsoft Corp.,2,1Y,SPOT,416474.37487446534,EUR
EQ_VEGA,Microsoft Corp.,11,1M,SPOT,868554.9104444527,EUR
EQ_VEGA,Google LLC,10,1M,SPOT,693271.6695744834,GBP
EQ_VEGA,Apple Inc.,5,1Y,REPO,709349.0769407718,USD
EQ_VEGA,Microsoft Corp.,6,1M,REPO,567236.0169182592,EUR
EQ_VEGA,Microsoft Corp.,5,6M,REPO,457534.46819704806,GBP
EQ_VEGA,Microsoft Corp.,12,6M,REPO,207398.36004060612,EUR
EQ_VEGA,Google LLC,1,1Y,SPOT,37354.22438458172,EUR
EQ_VEGA,Apple Inc.,13,1Y,REPO,619512.5139252294,EUR
EQ_VEGA,Google LLC,8,1M,SPOT,705482.716203926,USD
EQ_VEGA,Microsoft Corp.,3,6M,REPO,63237.43614823084,EUR
EQ_VEGA,Google LLC,10,6M,SPOT,965614.1086063477,GBP
EQ_VEGA,Google LLC,7,1M,SPOT,577343.9923913289,EUR
EQ_VEGA,Google LLC,12,6M,SPOT,886130.965939941,USD
EQ_VEGA,Google LLC,11,1M,SPOT,259289.01709692567,USD
EQ_VEGA,Google LLC,6,1Y,SPOT,809689.8314122845,GBP
EQ_VEGA,Microsoft Corp.,8,6M,REPO,35412.93261891787,EUR
EQ_VEGA,Apple Inc.,8,1Y,SPOT,628443.4761284704,USD
EQ_VEGA,Microsoft Corp.,1,6M,REPO,134322.74278699813,USD
EQ_VEGA,Google LLC,6,1M,REPO,404569.9680178361,GBP
EQ_VEGA,Google LLC,2,1M,SPOT,447870.6640975586,GBP
EQ_VEGA,Microsoft Corp.,11,6M,REPO,950995.939140738,USD
EQ_VEGA,Apple Inc.,8,6M,REPO,587941.2484078804,EUR
EQ_VEGA,Google LLC,7,6M,REPO,361005.80180846,USD
EQ_VEGA,Apple Inc.,5,6M,REPO,495605.16603383486,GBP
EQ_VEGA,Apple Inc.,8,1Y,SPOT,663338.6202707624,EUR
EQ_VEGA,Microsoft Corp.,5,1Y,SPOT,160786.69174166804,USD
EQ_VEGA,Apple Inc.,6,1M,REPO,830914.0557934288,GBP
EQ_VEGA,Apple Inc.,8,1M,SPOT,279069.5243077099,GBP
EQ_VEGA,Apple Inc.,2,1M,REPO,922666.3688787952,USD
EQ_VEGA,Apple Inc.,12,6M,SPOT,502865.101300309,EUR
EQ_VEGA,Apple Inc.,2,1Y,REPO,714400.9198086138,EUR
EQ_VEGA,Microsoft Corp.,4,1M,REPO,971864.2609242159,GBP
EQ_VEGA,Apple Inc.,4,6M,SPOT,231372.34906496477,GBP
EQ_VEGA,Apple Inc.,7,1Y,SPOT,215510.61380610766,USD
EQ_VEGA,Microsoft Corp.,12,1M,SPOT,699316.686800961,GBP
EQ_VEGA,Microsoft Corp.,13,1M,REPO,76491.87167845946,EUR
EQ_VEGA,Apple Inc.,3,6M,REPO,41125.230429821124,EUR
EQ_VEGA,Microsoft Corp.,3,6M,REPO,28532.84333309656,EUR
EQ_VEGA,Microsoft Corp.,9,1Y,SPOT,203729.7577071187,EUR
EQ_VEGA,Microsoft Corp.,9,1M,SPOT,231619.6736014384,EUR
EQ_VEGA,Apple Inc.,3,1Y,SPOT,862684.9655185029,GBP
EQ_VEGA,Microsoft Corp.,6,1M,SPOT,327306.8235263546,EUR
EQ_VEGA,Microsoft Corp.,1,6M,SPOT,57641.92870684183,USD
EQ_VEGA,Google LLC,4,1M,REPO,865542.8168286711,USD
EQ_VEGA,Apple Inc.,10,6M,SPOT,425485.34201480896,GBP
EQ_VEGA,Google LLC,11,6M,REPO,799636.9939864487,GBP
EQ_VEGA,Microsoft Corp.,3,1M,SPOT,710217.5378449613,EUR
EQ_VEGA,Microsoft Corp.,8,6M,REPO,363688.0529424867,GBP
EQ_VEGA,Apple Inc.,11,1Y,REPO,440253.7956709307,USD
EQ_VEGA,Google LLC,8,1Y,REPO,730919.2377609462,EUR
EQ_VEGA,Apple Inc.,10,6M,SPOT,129588.29383456138,EUR
EQ_VEGA,Google LLC,5,6M,REPO,989893.9711833498,EUR
EQ_VEGA,Google LLC,6,6M,SPOT,400999.2648172272,EUR
EQ_VEGA,Apple Inc.,8,1Y,REPO,613919.9044415498,EUR
EQ_VEGA,Microsoft Corp.,9,1M,SPOT,621012.90836619,GBP
EQ_VEGA,Apple Inc.,13,6M,SPOT,470451.3798118982,EUR
EQ_VEGA,Microsoft Corp.,8,1Y,REPO,809607.9290377233,USD
EQ_VEGA,Apple Inc.,12,1Y,REPO,627844.0529701108,USD
EQ_VEGA,Microsoft Corp.,3,6M,REPO,186786.33222012062,GBP
EQ_VEGA,Apple Inc.,2,1Y,SPOT,525460.4897478623,EUR
EQ_VEGA,Google LLC,8,1M,SPOT,758160.0995795848,EUR
EQ_VEGA,Apple Inc.,12,1Y,REPO,554091.934739059,GBP
EQ_VEGA,Microsoft Corp.,4,6M,REPO,363219.1785133124,EUR
EQ_VEGA,Apple Inc.,7,6M,REPO,288535.7502257599,GBP
EQ_VEGA,Microsoft Corp.,10,1Y,REPO,562614.7713839711,GBP
EQ_VEGA,Google LLC,13,6M,SPOT,844729.9696874829,USD
EQ_VEGA,Google LLC,3,1M,SPOT,532000.0792446017,GBP
EQ_VEGA,Apple Inc.,5,1M,SPOT,875688.4012888069,GBP
EQ_VEGA,Apple Inc.,7,6M,REPO,227324.29518547602,USD
EQ_VEGA,Apple Inc.,7,1M,REPO,167415.08217726115,USD
EQ_VEGA,Apple Inc.,12,1M,REPO,934060.1676506057,GBP
EQ_VEGA,Apple Inc.,5,6M,REPO,533139.9454576235,EUR
EQ_VEGA,Microsoft Corp.,7,1Y,REPO,173007.42564860085,USD
EQ_VEGA,Apple Inc.,6,6M,SPOT,606049.0549298058,EUR
EQ_VEGA,Google LLC,12,1M,SPOT,33410.144505292206,USD
EQ_VEGA,Microsoft Corp.,6,1M,REPO,950650.9111017736,USD
EQ_VEGA,Apple Inc.,4,1Y,REPO,542323.695781245,GBP
EQ_VEGA,Apple Inc.,13,1M,SPOT,550063.422012052,GBP
EQ_VEGA,Google LLC,10,1Y,SPOT,644248.6126388278,USD
EQ_VEGA,Google LLC,10,1M,REPO,333618.55051265267,EUR
EQ_VEGA,Google LLC,4,1M,REPO,804798.8881542638,GBP
EQ_VEGA,Microsoft Corp.,13,1M,REPO,555498.812155426,EUR
EQ_VEGA,Microsoft Corp.,13,1M,REPO,485425.2024289355,GBP
EQ_VEGA,Apple Inc.,13,6M,REPO,396426.57054633106,USD
EQ_VEGA,Microsoft Corp.,7,1M,REPO,515532.2137711643,USD
EQ_VEGA,Microsoft Corp.,1,6M,REPO,747978.420217825,USD
EQ_VEGA,Microsoft Corp.,2,1Y,SPOT,129120.07466884927,GBP
EQ_VEGA,Microsoft Corp.,4,1M,REPO,323321.9306121133,EUR
EQ_VEGA,Apple Inc.,2,1M,REPO,728945.0892354572,EUR
EQ_VEGA,Google LLC,2,1Y,SPOT,269625.199983503,GBP
EQ_VEGA,Apple Inc.,4,6M,REPO,81103.47561118836,GBP
EQ_VEGA,Apple Inc.,12,1M,SPOT,931389.4761536164,USD
EQ_VEGA,Apple Inc.,9,1M,REPO,980968.2925363661,EUR
EQ_VEGA,Apple Inc.,9,1M,SPOT,106850.7605143547,EUR
EQ_VEGA,Google LLC,11,1M,SPOT,786436.5963706485,GBP
EQ_VEGA,Apple Inc.,11,1Y,SPOT,996801.7522891196,USD
EQ_VEGA,Microsoft Corp.,12,1M,SPOT,791999.7243165532,EUR
EQ_VEGA,Google LLC,1,1Y,REPO,557951.1704328803,USD
EQ_VEGA,Apple Inc.,1,1M,SPOT,627230.4733108432,USD
EQ_VEGA,Apple Inc.,5,1Y,SPOT,43000.655974533154,EUR
EQ_VEGA,Apple Inc.,12,1Y,REPO,342962.20670827903,GBP
EQ_VEGA,Apple Inc.,7,1M,REPO,336776.6338498137,USD
EQ_VEGA,Microsoft Corp.,4,6M,REPO,918750.0609596965,EUR
EQ_VEGA,Apple Inc.,7,6M,REPO,169365.78435474704,EUR
EQ_VEGA,Google LLC,12,6M,SPOT,647946.8759270883,USD
EQ_VEGA,Google LLC,13,1Y,REPO,349258.51668254193,GBP
EQ_VEGA,Apple Inc.,12,1Y,SPOT,523463.49170089705,USD
EQ_VEGA,Microsoft Corp.,5,1Y,REPO,726304.246647357,USD
EQ_VEGA,Apple Inc.,12,6M,SPOT,364164.52046518255,GBP
EQ_VEGA,Google LLC,12,1M,REPO,347746.4571369852,GBP
EQ_VEGA,Microsoft Corp.,2,1M,SPOT,960221.3016706052,GBP
EQ_VEGA,Google LLC,12,1M,SPOT,580383.6313346708,USD
EQ_VEGA,Apple Inc.,9,1M,SPOT,740084.4921211295,GBP
EQ_VEGA,Microsoft Corp.,12,1M,REPO,320490.2992177211,USD
EQ_VEGA,Google LLC,5,1Y,SPOT,910066.8692836578,EUR
EQ_VEGA,Apple Inc.,8,1Y,SPOT,664521.0831831972,USD
EQ_VEGA,Apple Inc.,3,6M,REPO,539303.1273783749,USD
EQ_VEGA,Google LLC,8,1Y,REPO,220627.5377341147,USD
EQ_VEGA,Google LLC,5,6M,SPOT,964683.0605081603,GBP
EQ_VEGA,Google LLC,3,1Y,REPO,352844.883256993,EUR
EQ_VEGA,Google LLC,8,6M,SPOT,669236.9520845354,USD
EQ_VEGA,Microsoft Corp.,7,6M,SPOT,78866.77376276547,EUR
EQ_VEGA,Google LLC,7,1M,SPOT,790092.1804603143,EUR
EQ_VEGA,Microsoft Corp.,10,1M,REPO,513012.3765043672,GBP
EQ_VEGA,Apple Inc.,13,1M,REPO,206090.30163474075,USD
EQ_VEGA,Google LLC,7,1M,REPO,374522.90084683907,USD
EQ_VEGA,Microsoft Corp.,6,1Y,REPO,645158.6562288174,GBP
EQ_VEGA,Microsoft Corp.,7,1M,SPOT,938431.9031075564,GBP
EQ_VEGA,Microsoft Corp.,13,1Y,SPOT,439528.1344302118,EUR
EQ_VEGA,Microsoft Corp.,7,6M,SPOT,450120.0161911474,EUR
EQ_VEGA,Microsoft Corp.,1,1Y,REPO,647395.8491584517,USD
EQ_VEGA,Microsoft Corp.,4,6M,REPO,348461.42420590844,USD
EQ_VEGA,Apple Inc.,11,1Y,SPOT,811350.6563184094,USD
EQ_VEGA,Microsoft Corp.,12,1M,SPOT,515553.24287390517,EUR
EQ_VEGA,Google LLC,3,1Y,SPOT,638332.7725009694,GBP
EQ_VEGA,Google LLC,6,6M,REPO,19168.618375212554,USD
EQ_VEGA,Google LLC,6,1M,SPOT,931830.2132246911,USD
EQ_VEGA,Apple Inc.,7,6M,SPOT,343759.3401662009,EUR
EQ_VEGA,Microsoft Corp.,6,1M,REPO,776564.147130915,EUR
EQ_VEGA,Google LLC,10,1Y,REPO,289660.7906669474,GBP
EQ_VEGA,Apple Inc.,9,1M,SPOT,484910.1099408571,EUR
