RiskType,Qualifier,Bucket,Label1,Label2,Amount,AmountCurrency
FX_CURVATURE,USD/JPY,,RW3,,472295.66411491495,USD
FX_CURVATURE,USD/JPY,,RW2,,723859.1318036283,USD
FX_CURVATURE,USD/JPY,,RW2,,80679.5003048502,GBP
FX_CURVATURE,USD/JPY,,RW1,,95756.98620871929,GBP
FX_CURVATURE,USD/EUR,,RW2,,975375.4081721911,EUR
FX_CURVATURE,USD/JPY,,RW3,,84119.70929820785,EUR
FX_CURVATURE,GBP/JPY,,RW3,,260480.2456520533,GBP
FX_CURVATURE,GBP/JPY,,RW2,,598021.5441269473,GBP
FX_CURVATURE,USD/EUR,,RW2,,824771.8959431882,USD
FX_CURVATURE,GBP/JPY,,RW1,,222898.95534542206,USD
FX_CURVATURE,GBP/JPY,,RW3,,586693.4075326241,USD
FX_CURVATURE,GBP/JPY,,RW1,,47802.12308997,USD
FX_CURVATURE,USD/EUR,,RW1,,781644.2939688964,USD
FX_CURVATURE,USD/EUR,,RW3,,457900.85986902507,GBP
FX_CURVATURE,GBP/JPY,,RW2,,807845.1665459273,USD
FX_CURVATURE,GBP/JPY,,RW2,,123342.13981087861,GBP
FX_CURVATURE,USD/EUR,,RW1,,308784.3480450489,EUR
FX_CURVATURE,USD/EUR,,RW3,,423489.476899784,EUR
FX_CURVATURE,USD/EUR,,RW3,,571705.0365594332,GBP
FX_CURVATURE,GBP/JPY,,RW1,,144137.13218491565,USD
FX_CURVATURE,USD/JPY,,RW1,,695150.6320661149,USD
FX_CURVATURE,USD/EUR,,RW3,,653628.3191790299,USD
FX_CURVATURE,USD/EUR,,RW3,,672338.7922731279,EUR
FX_CURVATURE,GBP/JPY,,RW2,,284495.8054167289,EUR
FX_CURVATURE,USD/EUR,,RW1,,566492.8625492764,EUR
FX_CURVATURE,GBP/JPY,,RW1,,339325.38964930334,EUR
FX_CURVATURE,USD/JPY,,RW3,,710880.861114505,USD
FX_CURVATURE,USD/EUR,,RW3,,575889.611997287,EUR
FX_CURVATURE,GBP/JPY,,RW2,,321378.1574980162,GBP
FX_CURVATURE,USD/JPY,,RW1,,70157.41357121005,EUR
FX_CURVATURE,USD/JPY,,RW3,,175210.9714438493,USD
FX_CURVATURE,USD/EUR,,RW2,,841881.5561036916,GBP
FX_CURVATURE,USD/JPY,,RW1,,843113.2715111228,EUR
FX_CURVATURE,USD/JPY,,RW2,,831037.4662040834,GBP
FX_CURVATURE,USD/JPY,,RW2,,122524.19911339547,EUR
FX_CURVATURE,USD/JPY,,RW3,,266129.30092347605,GBP
FX_CURVATURE,USD/JPY,,RW3,,82388.99630881016,USD
FX_CURVATURE,GBP/JPY,,RW2,,625987.5426711184,USD
FX_CURVATURE,GBP/JPY,,RW3,,992873.9728255845,USD
FX_CURVATURE,GBP/JPY,,RW3,,505456.8921887125,USD
FX_CURVATURE,GBP/JPY,,RW1,,17939.467013594807,USD
FX_CURVATURE,GBP/JPY,,RW1,,186196.4175454646,EUR
FX_CURVATURE,GBP/JPY,,RW2,,930878.5585708951,EUR
FX_CURVATURE,USD/JPY,,RW1,,345740.6350339026,EUR
FX_CURVATURE,USD/EUR,,RW2,,876081.2411526105,GBP
FX_CURVATURE,USD/JPY,,RW2,,614436.8360965357,USD
FX_CURVATURE,USD/EUR,,RW3,,408701.9184711831,USD
FX_CURVATURE,USD/EUR,,RW2,,431230.73610222345,EUR
FX_CURVATURE,USD/JPY,,RW3,,528303.3255988071,GBP
FX_CURVATURE,USD/JPY,,RW1,,875374.2374821852,USD
FX_CURVATURE,GBP/JPY,,RW3,,229329.56060440085,EUR
FX_CURVATURE,USD/JPY,,RW3,,484617.95873190934,USD
FX_CURVATURE,GBP/JPY,,RW1,,844720.9237101384,EUR
FX_CURVATURE,USD/EUR,,RW2,,869554.4128832737,USD
FX_CURVATURE,USD/JPY,,RW1,,255103.15762895168,USD
FX_CURVATURE,USD/JPY,,RW1,,730132.1573815536,EUR
FX_CURVATURE,USD/JPY,,RW2,,153455.5644913562,USD
FX_CURVATURE,GBP/JPY,,RW1,,233113.62129053398,GBP
FX_CURVATURE,USD/JPY,,RW1,,397524.3612282107,GBP
FX_CURVATURE,USD/EUR,,RW1,,11185.524513654618,GBP
FX_CURVATURE,USD/JPY,,RW1,,264367.53125847084,EUR
FX_CURVATURE,GBP/JPY,,RW3,,956913.3721208984,EUR
FX_CURVATURE,GBP/JPY,,RW3,,542201.6932751192,GBP
FX_CURVATURE,GBP/JPY,,RW1,,750117.1722391519,EUR
FX_CURVATURE,USD/JPY,,RW1,,780140.1379517254,EUR
FX_CURVATURE,GBP/JPY,,RW1,,515636.06273417687,GBP
FX_CURVATURE,USD/JPY,,RW3,,680349.5181718161,GBP
FX_CURVATURE,GBP/JPY,,RW2,,457780.48362298997,EUR
FX_CURVATURE,GBP/JPY,,RW3,,732018.7467484402,GBP
FX_CURVATURE,USD/JPY,,RW2,,883582.1059590993,GBP
FX_CURVATURE,USD/JPY,,RW2,,970475.9385630034,EUR
FX_CURVATURE,USD/EUR,,RW1,,38160.52182381405,USD
FX_CURVATURE,GBP/JPY,,RW1,,324489.1422467932,USD
FX_CURVATURE,USD/JPY,,RW1,,35524.931944227814,GBP
FX_CURVATURE,USD/JPY,,RW2,,336027.17280518205,GBP
FX_CURVATURE,USD/EUR,,RW3,,682078.341515189,USD
FX_CURVATURE,USD/EUR,,RW3,,774304.0136323053,EUR
FX_CURVATURE,USD/JPY,,RW2,,543724.3738238369,GBP
FX_CURVATURE,GBP/JPY,,RW2,,809864.1861822573,USD
FX_CURVATURE,GBP/JPY,,RW1,,901344.6461217133,GBP
FX_CURVATURE,GBP/JPY,,RW3,,127738.54182024703,GBP
FX_CURVATURE,USD/JPY,,RW2,,811484.5455623057,USD
FX_CURVATURE,USD/JPY,,RW3,,284062.653616197,GBP
FX_CURVATURE,USD/EUR,,RW3,,759389.3532651957,GBP
FX_CURVATURE,GBP/JPY,,RW3,,309648.71433021093,USD
FX_CURVATURE,GBP/JPY,,RW2,,467707.6819650784,GBP
FX_CURVATURE,USD/EUR,,RW2,,40586.43319361771,EUR
FX_CURVATURE,GBP/JPY,,RW3,,250227.46891995,USD
FX_CURVATURE,GBP/JPY,,RW3,,649184.1659432664,GBP
FX_CURVATURE,USD/JPY,,RW1,,425347.2896854602,EUR
FX_CURVATURE,GBP/JPY,,RW1,,401051.98000046465,EUR
FX_CURVATURE,USD/JPY,,RW2,,38115.090402130525,EUR
FX_CURVATURE,USD/EUR,,RW3,,65317.040077119964,EUR
FX_CURVATURE,USD/EUR,,RW2,,596229.8013307457,GBP
FX_CURVATURE,USD/EUR,,RW2,,467833.1917389537,GBP
FX_CURVATURE,USD/JPY,,RW3,,921896.5191711633,USD
FX_CURVATURE,GBP/JPY,,RW2,,370548.9288242485,GBP
FX_CURVATURE,USD/EUR,,RW3,,314536.77741687564,EUR
FX_CURVATURE,GBP/JPY,,RW2,,600014.2295567571,GBP
FX_CURVATURE,USD/JPY,,RW1,,194006.9295409593,GBP
FX_CURVATURE,GBP/JPY,,RW3,,384253.770163854,GBP
FX_CURVATURE,USD/EUR,,RW3,,632046.6189911739,USD
FX_CURVATURE,GBP/JPY,,RW1,,576453.7907777512,GBP
FX_CURVATURE,USD/EUR,,RW3,,465674.7524824657,USD
FX_CURVATURE,USD/EUR,,RW2,,794500.3614588949,GBP
FX_CURVATURE,USD/JPY,,RW3,,496577.63993666455,GBP
FX_CURVATURE,GBP/JPY,,RW1,,909354.1536466856,GBP
FX_CURVATURE,GBP/JPY,,RW1,,545688.1710153146,GBP
FX_CURVATURE,USD/EUR,,RW3,,615411.423487288,GBP
FX_CURVATURE,USD/EUR,,RW1,,359329.7145184444,GBP
FX_CURVATURE,USD/JPY,,RW3,,44655.44054301607,EUR
FX_CURVATURE,USD/JPY,,RW2,,884929.4042441711,EUR
FX_CURVATURE,USD/EUR,,RW1,,329095.5261746658,GBP
FX_CURVATURE,USD/JPY,,RW2,,314199.34484182944,GBP
FX_CURVATURE,USD/EUR,,RW1,,955281.5738297167,USD
FX_CURVATURE,USD/JPY,,RW1,,107792.33937725867,GBP
FX_CURVATURE,GBP/JPY,,RW3,,90651.71692732182,EUR
FX_CURVATURE,GBP/JPY,,RW3,,142408.84468729777,EUR
FX_CURVATURE,USD/EUR,,RW3,,828748.0328411418,GBP
FX_CURVATURE,GBP/JPY,,RW1,,338709.48119281424,GBP
FX_CURVATURE,USD/EUR,,RW2,,114526.45881502824,GBP
FX_CURVATURE,GBP/JPY,,RW2,,328309.62686171726,GBP
FX_CURVATURE,USD/JPY,,RW2,,234835.21652884805,EUR
FX_CURVATURE,USD/EUR,,RW1,,996223.15468557,GBP
FX_CURVATURE,USD/EUR,,RW1,,654351.3309384956,USD
FX_CURVATURE,USD/JPY,,RW1,,800458.537665889,USD
FX_CURVATURE,USD/JPY,,RW3,,574416.7427569517,USD
FX_CURVATURE,GBP/JPY,,RW2,,675792.0802106763,EUR
