RiskType,Qualifier,Bucket,Label1,Label2,Amount,AmountCurrency
FX_DELTA,GBP/JPY,,,,436610.6064989768,GBP
FX_DELTA,USD/JPY,,,,214634.85187157575,EUR
FX_DELTA,USD/EUR,,,,356680.97589792387,USD
FX_DELTA,USD/EUR,,,,873518.1250618536,GBP
FX_DELTA,USD/EUR,,,,401511.8884007291,GBP
FX_DELTA,USD/EUR,,,,565130.9409076658,USD
FX_DELTA,USD/EUR,,,,68370.46318677042,USD
FX_DELTA,GBP/JPY,,,,17574.530921973965,USD
FX_DELTA,GBP/JPY,,,,379778.73477249686,GBP
FX_DELTA,USD/JPY,,,,599615.8434059822,USD
FX_DELTA,GBP/JPY,,,,892627.2014446554,EUR
FX_DELTA,USD/EUR,,,,980973.0236549029,GBP
FX_DELTA,GBP/JPY,,,,168235.07192917593,GBP
FX_DELTA,USD/EUR,,,,967605.1936984316,GBP
FX_DELTA,GBP/JPY,,,,474781.7711931158,USD
FX_DELTA,GBP/JPY,,,,851064.2445380904,EUR
FX_DELTA,USD/JPY,,,,183215.41874733102,GBP
FX_DELTA,USD/EUR,,,,363088.1160881402,USD
FX_DELTA,GBP/JPY,,,,942531.0457867621,GBP
FX_DELTA,GBP/JPY,,,,22167.05692787097,GBP
FX_DELTA,GBP/JPY,,,,759542.0080755993,EUR
FX_DELTA,GBP/JPY,,,,635289.7701791957,EUR
FX_DELTA,USD/EUR,,,,486749.2632278063,USD
FX_DELTA,GBP/JPY,,,,896671.94494275,GBP
FX_DELTA,USD/JPY,,,,327346.40492681443,EUR
FX_DELTA,USD/JPY,,,,499296.53567396634,USD
FX_DELTA,USD/JPY,,,,758252.8370986091,GBP
FX_DELTA,USD/EUR,,,,290896.83573284064,USD
FX_DELTA,USD/EUR,,,,234298.5609461424,USD
FX_DELTA,USD/JPY,,,,589820.1359176419,USD
FX_DELTA,GBP/JPY,,,,582233.6120910398,USD
FX_DELTA,USD/EUR,,,,753623.3151848556,USD
FX_DELTA,USD/EUR,,,,117808.67020646988,EUR
FX_DELTA,USD/JPY,,,,147756.7401913421,GBP
FX_DELTA,USD/EUR,,,,606098.4948758013,GBP
FX_DELTA,USD/EUR,,,,72137.1349088136,GBP
FX_DELTA,USD/JPY,,,,304531.5393033863,GBP
FX_DELTA,USD/JPY,,,,620575.816498628,GBP
FX_DELTA,USD/EUR,,,,693426.168569508,USD
FX_DELTA,USD/EUR,,,,243785.26643172358,GBP
FX_DELTA,USD/JPY,,,,619540.2026996113,USD
FX_DELTA,USD/JPY,,,,885047.9419050937,EUR
FX_DELTA,GBP/JPY,,,,368274.67673573975,USD
FX_DELTA,GBP/JPY,,,,728969.7227491898,USD
FX_DELTA,USD/JPY,,,,482781.3466053914,GBP
FX_DELTA,USD/JPY,,,,832359.8263102444,USD
FX_DELTA,USD/EUR,,,,799629.9558773327,EUR
FX_DELTA,GBP/JPY,,,,76051.54461064383,USD
FX_DELTA,GBP/JPY,,,,770218.1971560234,EUR
FX_DELTA,USD/EUR,,,,504494.4732228643,GBP
FX_DELTA,USD/JPY,,,,687094.3912962301,GBP
FX_DELTA,USD/EUR,,,,586273.9238141591,USD
FX_DELTA,GBP/JPY,,,,643325.0693408281,USD
FX_DELTA,USD/JPY,,,,626844.3250571019,EUR
FX_DELTA,GBP/JPY,,,,257834.15945535,USD
FX_DELTA,USD/JPY,,,,19880.818279077263,USD
FX_DELTA,GBP/JPY,,,,131493.30476084686,USD
FX_DELTA,GBP/JPY,,,,664885.2892533464,USD
FX_DELTA,GBP/JPY,,,,86814.28372447859,USD
FX_DELTA,GBP/JPY,,,,484640.41667408944,GBP
FX_DELTA,USD/JPY,,,,631599.7552843178,GBP
FX_DELTA,GBP/JPY,,,,79390.01539550301,EUR
FX_DELTA,USD/JPY,,,,321683.8861542655,USD
FX_DELTA,GBP/JPY,,,,387452.6855885887,USD
FX_DELTA,GBP/JPY,,,,440161.4879258502,USD
FX_DELTA,USD/JPY,,,,807138.8786545586,USD
FX_DELTA,USD/EUR,,,,469505.8929659547,EUR
FX_DELTA,USD/EUR,,,,606324.6337801418,GBP
FX_DELTA,GBP/JPY,,,,393818.8979224472,EUR
FX_DELTA,GBP/JPY,,,,158762.5896632725,GBP
FX_DELTA,USD/JPY,,,,234218.4835556556,USD
FX_DELTA,USD/JPY,,,,341999.37351045694,GBP
FX_DELTA,USD/EUR,,,,953404.6875781324,EUR
FX_DELTA,GBP/JPY,,,,757566.289852316,GBP
FX_DELTA,USD/EUR,,,,34288.71977297963,USD
FX_DELTA,USD/JPY,,,,311943.9099325734,GBP
FX_DELTA,USD/JPY,,,,335089.7537856504,EUR
FX_DELTA,USD/JPY,,,,16742.168167492306,USD
FX_DELTA,USD/EUR,,,,502701.4894503845,GBP
FX_DELTA,USD/JPY,,,,434569.8301501201,GBP
FX_DELTA,GBP/JPY,,,,15762.692060766552,EUR
FX_DELTA,GBP/JPY,,,,817094.9099243302,GBP
FX_DELTA,USD/JPY,,,,223461.07652636294,GBP
FX_DELTA,GBP/JPY,,,,614903.173854933,EUR
FX_DELTA,USD/JPY,,,,388583.8055015579,USD
FX_DELTA,USD/JPY,,,,489908.38205003785,GBP
FX_DELTA,USD/EUR,,,,952991.5712373742,USD
FX_DELTA,USD/EUR,,,,359663.2966800723,USD
FX_DELTA,USD/JPY,,,,301343.22603177227,EUR
FX_DELTA,GBP/JPY,,,,382956.0971637435,USD
FX_DELTA,USD/EUR,,,,854758.5000366163,USD
FX_DELTA,USD/JPY,,,,434081.0680051196,GBP
FX_DELTA,USD/JPY,,,,925430.0970364114,USD
FX_DELTA,USD/JPY,,,,856599.6198559463,USD
FX_DELTA,USD/JPY,,,,663059.7785440788,USD
FX_DELTA,USD/EUR,,,,607491.3516702404,EUR
FX_DELTA,GBP/JPY,,,,519631.98618766875,USD
FX_DELTA,USD/JPY,,,,687053.2980264646,GBP
FX_DELTA,GBP/JPY,,,,629848.3581894636,GBP
FX_DELTA,USD/JPY,,,,92301.2345627364,EUR
FX_DELTA,USD/EUR,,,,638115.7224486521,GBP
FX_DELTA,GBP/JPY,,,,626629.1116810275,GBP
FX_DELTA,USD/EUR,,,,448939.0766823968,EUR
FX_DELTA,USD/JPY,,,,192039.4427602054,EUR
FX_DELTA,GBP/JPY,,,,931050.0878683976,GBP
FX_DELTA,USD/EUR,,,,205518.38402393795,EUR
FX_DELTA,USD/EUR,,,,133222.9985900094,EUR
FX_DELTA,USD/JPY,,,,375037.4677791871,EUR
FX_DELTA,GBP/JPY,,,,109311.1339040304,USD
FX_DELTA,USD/EUR,,,,329010.2872310053,USD
FX_DELTA,USD/JPY,,,,583047.4889010168,USD
FX_DELTA,USD/EUR,,,,138074.33489990345,EUR
FX_DELTA,USD/EUR,,,,143295.58835018592,EUR
FX_DELTA,GBP/JPY,,,,494394.3185104927,USD
FX_DELTA,USD/EUR,,,,949862.1850424646,EUR
FX_DELTA,USD/JPY,,,,358537.5873890373,USD
FX_DELTA,USD/EUR,,,,810221.4499028345,EUR
FX_DELTA,USD/EUR,,,,969664.9174044185,GBP
FX_DELTA,USD/JPY,,,,596794.8483666229,USD
FX_DELTA,USD/JPY,,,,723717.5988620431,USD
FX_DELTA,USD/EUR,,,,990936.6479497511,EUR
FX_DELTA,GBP/JPY,,,,624563.1516980205,GBP
FX_DELTA,USD/JPY,,,,410662.65672069724,GBP
FX_DELTA,GBP/JPY,,,,193761.85452119674,USD
FX_DELTA,GBP/JPY,,,,105728.14134050178,GBP
FX_DELTA,GBP/JPY,,,,249958.13434019766,USD
FX_DELTA,USD/EUR,,,,606651.1784669472,GBP
FX_DELTA,USD/JPY,,,,543889.3880083596,EUR
FX_DELTA,GBP/JPY,,,,972464.3744539019,GBP
FX_DELTA,USD/JPY,,,,22775.917931672342,EUR
FX_DELTA,GBP/JPY,,,,614925.9216634792,EUR
FX_DELTA,USD/JPY,,,,977209.9457450755,EUR
FX_DELTA,GBP/JPY,,,,288112.02993743366,EUR
FX_DELTA,USD/EUR,,,,303917.0220053822,EUR
FX_DELTA,USD/EUR,,,,726007.3479852355,GBP
FX_DELTA,USD/EUR,,,,723603.0467990037,USD
FX_DELTA,GBP/JPY,,,,379261.3578211782,USD
FX_DELTA,GBP/JPY,,,,579545.5524929478,USD
FX_DELTA,GBP/JPY,,,,971522.0510014843,USD
FX_DELTA,GBP/JPY,,,,180496.09519376387,GBP
FX_DELTA,GBP/JPY,,,,213499.4601680396,USD
FX_DELTA,USD/EUR,,,,167517.78987004847,GBP
FX_DELTA,USD/EUR,,,,458945.9474024232,EUR
FX_DELTA,USD/JPY,,,,804826.1701068691,GBP
FX_DELTA,USD/EUR,,,,255329.26349666118,EUR
FX_DELTA,USD/JPY,,,,474369.8737486186,EUR
FX_DELTA,GBP/JPY,,,,387381.1936184756,USD
FX_DELTA,GBP/JPY,,,,296496.9137913364,GBP
FX_DELTA,USD/JPY,,,,947399.8817256587,GBP
FX_DELTA,GBP/JPY,,,,59851.79255853065,GBP
FX_DELTA,USD/EUR,,,,756833.758519025,GBP
FX_DELTA,USD/EUR,,,,200604.83095872067,USD
FX_DELTA,USD/EUR,,,,837778.9733487219,EUR
FX_DELTA,GBP/JPY,,,,602603.2499496973,USD
FX_DELTA,GBP/JPY,,,,805712.5649113844,GBP
FX_DELTA,GBP/JPY,,,,145697.50322766296,USD
FX_DELTA,USD/EUR,,,,63295.845766171646,EUR
FX_DELTA,USD/EUR,,,,362560.5332724868,GBP
FX_DELTA,GBP/JPY,,,,792543.6405136964,GBP
FX_DELTA,USD/EUR,,,,102502.35758399473,GBP
FX_DELTA,GBP/JPY,,,,218406.24575532007,USD
FX_DELTA,GBP/JPY,,,,143021.596853947,USD
FX_DELTA,USD/JPY,,,,239403.26417215154,USD
FX_DELTA,USD/EUR,,,,380945.593060957,USD
FX_DELTA,USD/JPY,,,,279989.9083953981,USD
FX_DELTA,USD/EUR,,,,397923.66617566417,EUR
FX_DELTA,GBP/JPY,,,,652804.5188389303,GBP
FX_DELTA,USD/JPY,,,,524207.9223143261,USD
FX_DELTA,USD/JPY,,,,195212.50739398424,GBP
FX_DELTA,GBP/JPY,,,,180472.02176500644,GBP
FX_DELTA,GBP/JPY,,,,236793.57991962615,EUR
FX_DELTA,USD/EUR,,,,528542.218461522,GBP
FX_DELTA,USD/EUR,,,,932493.2516906123,USD
FX_DELTA,USD/JPY,,,,172542.35013559266,GBP
FX_DELTA,USD/JPY,,,,231094.37595081117,GBP
FX_DELTA,USD/JPY,,,,528313.1097047573,GBP
FX_DELTA,GBP/JPY,,,,76657.07263565186,EUR
FX_DELTA,USD/EUR,,,,403284.1833592452,GBP
FX_DELTA,GBP/JPY,,,,742903.0257747916,EUR
FX_DELTA,GBP/JPY,,,,122304.43200823123,EUR
FX_DELTA,GBP/JPY,,,,105313.6192085058,EUR
FX_DELTA,USD/JPY,,,,402954.3248324928,USD
FX_DELTA,GBP/JPY,,,,548043.9092685932,EUR
FX_DELTA,USD/JPY,,,,968584.2330948825,GBP
FX_DELTA,USD/EUR,,,,549873.4234272137,USD
FX_DELTA,USD/JPY,,,,547573.3619160134,USD
FX_DELTA,USD/EUR,,,,239199.11973961696,EUR
FX_DELTA,GBP/JPY,,,,847916.2674083738,GBP
FX_DELTA,GBP/JPY,,,,566021.4943140738,USD
FX_DELTA,GBP/JPY,,,,839245.6544020019,USD
FX_DELTA,USD/JPY,,,,162329.307338914,USD
FX_DELTA,USD/EUR,,,,265532.1541264693,GBP
FX_DELTA,USD/JPY,,,,140762.28763727035,GBP
FX_DELTA,USD/JPY,,,,713126.1895234125,USD
FX_DELTA,GBP/JPY,,,,794570.9156095725,GBP
FX_DELTA,USD/EUR,,,,644763.2155751479,USD
FX_DELTA,USD/JPY,,,,652648.7462010501,GBP
FX_DELTA,USD/EUR,,,,773562.2915807032,USD
FX_DELTA,GBP/JPY,,,,482231.8697557564,USD
FX_DELTA,USD/JPY,,,,621332.3394622295,USD
FX_DELTA,GBP/JPY,,,,834803.9524268087,USD
FX_DELTA,GBP/JPY,,,,412123.74727773166,EUR
FX_DELTA,USD/JPY,,,,616799.4924699517,EUR
FX_DELTA,USD/JPY,,,,885555.618136431,GBP
FX_DELTA,GBP/JPY,,,,816551.087724064,EUR
FX_DELTA,GBP/JPY,,,,447031.0134112266,EUR
FX_DELTA,USD/JPY,,,,805393.0081751784,USD
FX_DELTA,GBP/JPY,,,,583686.6320307533,EUR
FX_DELTA,GBP/JPY,,,,652537.6211249904,EUR
FX_DELTA,GBP/JPY,,,,137016.59507965605,GBP
FX_DELTA,USD/JPY,,,,205744.4442681086,EUR
FX_DELTA,GBP/JPY,,,,755353.984383901,USD
FX_DELTA,USD/JPY,,,,883812.863113066,GBP
FX_DELTA,USD/EUR,,,,686270.4159832454,EUR
FX_DELTA,USD/JPY,,,,812126.6999131173,USD
FX_DELTA,USD/EUR,,,,852779.8769991738,GBP
