RiskType,Qualifier,Bucket,Label1,Label2,Amount,AmountCurrency
GIRR_CURVATURE,GBP,,RW3,OIS USD,393548.569933716,JPY
GIRR_CURVATURE,JPY,,RW1,OIS USD,589761.4615668297,USD
GIRR_CURVATURE,USD,,RW1,OIS USD,133150.15221392628,JPY
GIRR_CURVATURE,EUR,,RW2,Libor3m EUR,429492.2265696749,JPY
GIRR_CURVATURE,USD,,RW3,OIS USD,451005.91810039553,JPY
GIRR_CURVATURE,USD,,RW3,OIS USD,873037.219851262,USD
GIRR_CURVATURE,JPY,,RW2,OIS USD,286636.38466506853,GBP
GIRR_CURVATURE,USD,,RW2,OIS USD,467498.1831880334,JPY
GIRR_CURVATURE,JPY,,RW3,OIS USD,443101.69869530183,GBP
GIRR_CURVATURE,EUR,,RW2,Libor3m EUR,416070.7223034375,GBP
GIRR_CURVATURE,EUR,,RW2,OIS USD,350951.90029024763,JPY
GIRR_CURVATURE,JPY,,RW3,OIS USD,503151.6762944304,EUR
GIRR_CURVATURE,USD,,RW1,OIS USD,528462.8551069575,GBP
GIRR_CURVATURE,USD,,RW2,Libor3m EUR,705019.3801058631,JPY
GIRR_CURVATURE,JPY,,RW1,Libor3m EUR,231389.15923361448,JPY
GIRR_CURVATURE,EUR,,RW3,OIS USD,930720.9338848985,JPY
GIRR_CURVATURE,USD,,RW3,Libor3m EUR,264864.1379386489,GBP
GIRR_CURVATURE,EUR,,RW3,OIS USD,47210.559574521176,GBP
GIRR_CURVATURE,EUR,,RW3,Libor3m EUR,230203.3982446648,GBP
GIRR_CURVATURE,EUR,,RW2,Libor3m EUR,389773.0799219399,JPY
GIRR_CURVATURE,JPY,,RW2,OIS USD,873560.8268766189,GBP
GIRR_CURVATURE,USD,,RW2,OIS USD,74978.13371607233,USD
GIRR_CURVATURE,USD,,RW1,Libor3m EUR,467044.79055691656,JPY
GIRR_CURVATURE,GBP,,RW3,OIS USD,727273.3486134246,EUR
GIRR_CURVATURE,JPY,,RW1,OIS USD,115775.71888818678,USD
GIRR_CURVATURE,JPY,,RW2,OIS USD,345376.49529756396,JPY
GIRR_CURVATURE,EUR,,RW2,Libor3m EUR,15103.881883304908,EUR
GIRR_CURVATURE,JPY,,RW1,Libor3m EUR,937337.827410116,GBP
GIRR_CURVATURE,GBP,,RW1,Libor3m EUR,206599.35157563363,EUR
GIRR_CURVATURE,EUR,,RW1,OIS USD,306449.6556186585,USD
GIRR_CURVATURE,EUR,,RW1,Libor3m EUR,187247.78655905367,GBP
GIRR_CURVATURE,GBP,,RW3,OIS USD,277167.1806048133,GBP
GIRR_CURVATURE,USD,,RW3,OIS USD,140132.80720173888,EUR
GIRR_CURVATURE,JPY,,RW2,Libor3m EUR,696846.2281078089,EUR
GIRR_CURVATURE,JPY,,RW3,OIS USD,679712.8284622477,EUR
GIRR_CURVATURE,USD,,RW2,Libor3m EUR,52700.68191885888,GBP
GIRR_CURVATURE,GBP,,RW2,OIS USD,878715.8611648852,GBP
GIRR_CURVATURE,USD,,RW2,OIS USD,361773.45977426873,GBP
GIRR_CURVATURE,EUR,,RW1,OIS USD,615527.1624022723,USD
GIRR_CURVATURE,JPY,,RW3,Libor3m EUR,658303.5460138809,JPY
GIRR_CURVATURE,GBP,,RW1,Libor3m EUR,745939.487465911,USD
GIRR_CURVATURE,JPY,,RW1,Libor3m EUR,177249.68911156245,EUR
GIRR_CURVATURE,GBP,,RW1,Libor3m EUR,260149.2709968507,USD
GIRR_CURVATURE,JPY,,RW2,OIS USD,632216.0186602008,EUR
GIRR_CURVATURE,USD,,RW1,Libor3m EUR,439812.83398229117,JPY
GIRR_CURVATURE,EUR,,RW3,Libor3m EUR,479947.7577272427,USD
GIRR_CURVATURE,JPY,,RW3,OIS USD,332151.48495752376,EUR
GIRR_CURVATURE,USD,,RW3,Libor3m EUR,812348.5748856451,JPY
GIRR_CURVATURE,USD,,RW2,Libor3m EUR,281372.03827065194,USD
GIRR_CURVATURE,GBP,,RW1,Libor3m EUR,356383.3509224745,EUR
GIRR_CURVATURE,USD,,RW2,OIS USD,76738.13026700095,EUR
GIRR_CURVATURE,GBP,,RW3,OIS USD,451856.78671608627,EUR
GIRR_CURVATURE,USD,,RW3,Libor3m EUR,698495.0496256404,EUR
GIRR_CURVATURE,EUR,,RW1,Libor3m EUR,852949.5956785578,EUR
GIRR_CURVATURE,GBP,,RW2,Libor3m EUR,21504.630893327834,EUR
GIRR_CURVATURE,USD,,RW1,OIS USD,416719.0525767065,GBP
GIRR_CURVATURE,GBP,,RW2,OIS USD,676097.7883567357,JPY
GIRR_CURVATURE,GBP,,RW2,OIS USD,721465.5598621581,EUR
GIRR_CURVATURE,USD,,RW3,Libor3m EUR,579070.5582051824,USD
GIRR_CURVATURE,GBP,,RW1,OIS USD,906048.5892207144,GBP
GIRR_CURVATURE,GBP,,RW1,Libor3m EUR,93962.88216889411,JPY
GIRR_CURVATURE,USD,,RW3,Libor3m EUR,777609.622801139,JPY
GIRR_CURVATURE,EUR,,RW1,OIS USD,461591.53677032364,EUR
GIRR_CURVATURE,JPY,,RW3,OIS USD,768039.6118338272,EUR
GIRR_CURVATURE,EUR,,RW2,OIS USD,274799.8903122102,JPY
GIRR_CURVATURE,USD,,RW1,Libor3m EUR,581365.7790684956,USD
GIRR_CURVATURE,EUR,,RW3,Libor3m EUR,218112.10775295974,JPY
GIRR_CURVATURE,EUR,,RW3,Libor3m EUR,433917.8372726521,USD
GIRR_CURVATURE,JPY,,RW3,OIS USD,840616.7802735522,EUR
GIRR_CURVATURE,USD,,RW1,OIS USD,635482.2866831583,JPY
GIRR_CURVATURE,GBP,,RW3,OIS USD,117340.74105265432,JPY
GIRR_CURVATURE,JPY,,RW2,Libor3m EUR,867783.3632076336,JPY
GIRR_CURVATURE,USD,,RW2,OIS USD,343633.1568416675,USD
GIRR_CURVATURE,JPY,,RW3,OIS USD,174586.7945060215,USD
GIRR_CURVATURE,USD,,RW3,Libor3m EUR,215586.8477814358,JPY
GIRR_CURVATURE,USD,,RW2,Libor3m EUR,496281.86344769225,EUR
GIRR_CURVATURE,JPY,,RW3,Libor3m EUR,406916.22045786405,JPY
GIRR_CURVATURE,EUR,,RW3,OIS USD,409762.2125112983,GBP
GIRR_CURVATURE,GBP,,RW3,OIS USD,755536.5906266111,EUR
GIRR_CURVATURE,GBP,,RW1,OIS USD,734424.4733727971,EUR
GIRR_CURVATURE,JPY,,RW1,OIS USD,456060.89117523056,EUR
GIRR_CURVATURE,JPY,,RW2,OIS USD,704313.7109538123,USD
GIRR_CURVATURE,USD,,RW2,OIS USD,866345.7997026112,USD
GIRR_CURVATURE,EUR,,RW1,Libor3m EUR,731319.7463662573,USD
GIRR_CURVATURE,EUR,,RW1,OIS USD,882674.0611080504,USD
GIRR_CURVATURE,USD,,RW3,Libor3m EUR,812328.2329060042,JPY
GIRR_CURVATURE,USD,,RW3,Libor3m EUR,922470.0009791316,JPY
GIRR_CURVATURE,GBP,,RW1,Libor3m EUR,971976.9867603602,GBP
GIRR_CURVATURE,GBP,,RW1,Libor3m EUR,403743.0497361115,USD
GIRR_CURVATURE,USD,,RW2,OIS USD,794797.1676194699,JPY
GIRR_CURVATURE,JPY,,RW2,OIS USD,765946.7642689429,GBP
GIRR_CURVATURE,GBP,,RW3,Libor3m EUR,465255.3452843916,JPY
GIRR_CURVATURE,GBP,,RW3,OIS USD,959277.0157023135,USD
GIRR_CURVATURE,USD,,RW1,Libor3m EUR,816273.2062345344,EUR
GIRR_CURVATURE,USD,,RW1,Libor3m EUR,642772.3011439346,USD
GIRR_CURVATURE,JPY,,RW2,Libor3m EUR,884283.019238179,GBP
GIRR_CURVATURE,JPY,,RW2,OIS USD,921832.6906783495,JPY
GIRR_CURVATURE,USD,,RW2,Libor3m EUR,933419.4872074402,EUR
GIRR_CURVATURE,JPY,,RW2,Libor3m EUR,413182.53538245754,USD
GIRR_CURVATURE,EUR,,RW3,OIS USD,103434.96433813516,USD
GIRR_CURVATURE,EUR,,RW1,OIS USD,968119.8026052852,JPY
GIRR_CURVATURE,USD,,RW1,Libor3m EUR,521917.35876604944,EUR
GIRR_CURVATURE,USD,,RW3,Libor3m EUR,330674.53820341115,USD
GIRR_CURVATURE,USD,,RW2,Libor3m EUR,66310.25828492618,GBP
GIRR_CURVATURE,JPY,,RW3,Libor3m EUR,811419.1514209078,EUR
GIRR_CURVATURE,GBP,,RW3,Libor3m EUR,323075.0303559245,USD
GIRR_CURVATURE,EUR,,RW2,Libor3m EUR,807528.6646425448,JPY
GIRR_CURVATURE,EUR,,RW3,Libor3m EUR,328201.8112032587,JPY
GIRR_CURVATURE,GBP,,RW2,OIS USD,448994.87606406916,EUR
GIRR_CURVATURE,EUR,,RW2,Libor3m EUR,144154.55212489265,USD
GIRR_CURVATURE,USD,,RW1,Libor3m EUR,234469.8886389145,GBP
GIRR_CURVATURE,JPY,,RW2,Libor3m EUR,355581.74694665626,EUR
GIRR_CURVATURE,EUR,,RW2,OIS USD,870841.4866239505,USD
GIRR_CURVATURE,GBP,,RW3,Libor3m EUR,546193.838100765,USD
GIRR_CURVATURE,JPY,,RW1,OIS USD,729327.4233683884,JPY
GIRR_CURVATURE,USD,,RW3,Libor3m EUR,941110.5850899761,USD
GIRR_CURVATURE,USD,,RW3,Libor3m EUR,143847.4461993614,JPY
GIRR_CURVATURE,USD,,RW2,Libor3m EUR,746896.5810097953,GBP
GIRR_CURVATURE,JPY,,RW1,Libor3m EUR,887804.3699082411,EUR
GIRR_CURVATURE,GBP,,RW3,OIS USD,243165.80061597304,EUR
GIRR_CURVATURE,GBP,,RW1,Libor3m EUR,360190.44932911516,GBP
GIRR_CURVATURE,JPY,,RW3,OIS USD,18780.81103622322,JPY
GIRR_CURVATURE,USD,,RW1,OIS USD,947259.427853966,EUR
GIRR_CURVATURE,EUR,,RW2,Libor3m EUR,365310.0899092375,GBP
GIRR_CURVATURE,GBP,,RW3,Libor3m EUR,808925.8129203694,GBP
GIRR_CURVATURE,USD,,RW2,OIS USD,640564.0222147296,USD
GIRR_CURVATURE,GBP,,RW1,Libor3m EUR,453563.2597943335,JPY
GIRR_CURVATURE,GBP,,RW1,Libor3m EUR,218151.27010200708,JPY
GIRR_CURVATURE,JPY,,RW3,OIS USD,170419.016153715,JPY
GIRR_CURVATURE,EUR,,RW2,OIS USD,530345.06992678,EUR
GIRR_CURVATURE,JPY,,RW3,OIS USD,678856.0846568504,JPY
GIRR_CURVATURE,USD,,RW1,Libor3m EUR,532051.1199775955,GBP
GIRR_CURVATURE,JPY,,RW2,OIS USD,47049.731753149004,USD
GIRR_CURVATURE,USD,,RW3,OIS USD,184685.7368919911,EUR
GIRR_CURVATURE,USD,,RW2,OIS USD,521135.398861325,GBP
GIRR_CURVATURE,GBP,,RW1,OIS USD,446213.2502061364,USD
GIRR_CURVATURE,JPY,,RW2,Libor3m EUR,50364.54840425968,JPY
GIRR_CURVATURE,JPY,,RW1,Libor3m EUR,342054.63643456955,EUR
GIRR_CURVATURE,EUR,,RW3,OIS USD,268365.3855203324,GBP
GIRR_CURVATURE,JPY,,RW1,Libor3m EUR,893614.476751898,EUR
GIRR_CURVATURE,USD,,RW1,OIS USD,245165.79411979302,EUR
GIRR_CURVATURE,GBP,,RW1,OIS USD,603688.750095918,USD
GIRR_CURVATURE,USD,,RW1,Libor3m EUR,460889.6978571901,JPY
GIRR_CURVATURE,GBP,,RW3,OIS USD,135384.71683967827,JPY
GIRR_CURVATURE,JPY,,RW1,Libor3m EUR,245297.17729553542,GBP
GIRR_CURVATURE,GBP,,RW2,OIS USD,680691.5370380038,JPY
GIRR_CURVATURE,USD,,RW1,OIS USD,790405.4639926283,EUR
GIRR_CURVATURE,EUR,,RW3,Libor3m EUR,453709.91995208367,USD
GIRR_CURVATURE,GBP,,RW3,OIS USD,189443.30177696692,EUR
GIRR_CURVATURE,JPY,,RW2,Libor3m EUR,844855.1126817222,GBP
GIRR_CURVATURE,GBP,,RW2,Libor3m EUR,640634.7655260875,GBP
GIRR_CURVATURE,GBP,,RW2,Libor3m EUR,548273.9889609237,GBP
GIRR_CURVATURE,JPY,,RW1,OIS USD,98684.5708663571,USD
GIRR_CURVATURE,EUR,,RW1,Libor3m EUR,929218.2531179163,GBP
GIRR_CURVATURE,GBP,,RW3,Libor3m EUR,759239.531337241,GBP
GIRR_CURVATURE,EUR,,RW2,Libor3m EUR,483284.53780888964,GBP
GIRR_CURVATURE,JPY,,RW1,Libor3m EUR,660963.0141535375,JPY
GIRR_CURVATURE,USD,,RW2,Libor3m EUR,882396.1656136644,JPY
GIRR_CURVATURE,EUR,,RW3,Libor3m EUR,958421.7727435138,JPY
GIRR_CURVATURE,JPY,,RW2,Libor3m EUR,724400.277291614,GBP
