RiskType,Qualifier,Bucket,Label1,Label2,Amount,AmountCurrency
GIRR_DELTA,GBP,,INFL,OIS USD,654875.6749158063,USD
GIRR_DELTA,JPY,,10Y,INFL USD,492693.47088379046,EUR
GIRR_DELTA,USD,,1Y,OIS USD,894562.7216140273,GBP
GIRR_DELTA,JPY,,5Y,Libor3m EUR,264337.0184059266,JPY
GIRR_DELTA,JPY,,XCCY,OIS USD,903371.39912996,JPY
GIRR_DELTA,USD,,XCCY,Libor3m EUR,834041.3820397066,JPY
GIRR_DELTA,GBP,,1Y,XCCY USD,594450.1662357774,JPY
GIRR_DELTA,EUR,,INFL,INFL USD,38772.73046160281,JPY
GIRR_DELTA,GBP,,1Y,Libor3m EUR,834581.5060864456,EUR
GIRR_DELTA,EUR,,1Y,INFL USD,530275.8966811709,JPY
GIRR_DELTA,JPY,,1Y,Libor3m EUR,225578.58397666426,EUR
GIRR_DELTA,JPY,,XCCY,XCCY USD,961041.045258534,JPY
GIRR_DELTA,EUR,,5Y,XCCY USD,262486.20007847354,EUR
GIRR_DELTA,GBP,,XCCY,Libor3m EUR,633789.4311478763,USD
GIRR_DELTA,EUR,,1Y,XCCY USD,768527.3068331965,JPY
GIRR_DELTA,EUR,,XCCY,Libor3m EUR,211722.75837063475,EUR
GIRR_DELTA,EUR,,XCCY,XCCY USD,706539.6257761465,JPY
GIRR_DELTA,GBP,,1Y,INFL USD,659031.7422038331,JPY
GIRR_DELTA,JPY,,1Y,INFL USD,992178.7268336138,JPY
GIRR_DELTA,GBP,,XCCY,INFL USD,687626.1625890437,GBP
GIRR_DELTA,GBP,,XCCY,INFL USD,35120.64308059633,JPY
GIRR_DELTA,EUR,,1Y,XCCY USD,627228.224084142,EUR
GIRR_DELTA,JPY,,INFL,OIS USD,364557.7765025698,GBP
GIRR_DELTA,EUR,,INFL,XCCY USD,662801.4543402537,GBP
GIRR_DELTA,USD,,5Y,INFL USD,276491.2215032714,GBP
GIRR_DELTA,JPY,,5Y,XCCY USD,333366.19410902716,JPY
GIRR_DELTA,EUR,,INFL,Libor3m EUR,436774.0433032189,EUR
GIRR_DELTA,GBP,,10Y,XCCY USD,567853.8299724632,JPY
GIRR_DELTA,JPY,,5Y,XCCY USD,230477.18308610606,GBP
GIRR_DELTA,EUR,,1Y,XCCY USD,811812.1445019904,USD
GIRR_DELTA,EUR,,XCCY,Libor3m EUR,448658.6576040726,JPY
GIRR_DELTA,GBP,,10Y,Libor3m EUR,797164.3636935743,GBP
GIRR_DELTA,USD,,10Y,XCCY USD,629163.88579611,EUR
GIRR_DELTA,GBP,,XCCY,INFL USD,943257.9338890401,USD
GIRR_DELTA,JPY,,INFL,Libor3m EUR,264374.5518447055,USD
GIRR_DELTA,JPY,,1Y,INFL USD,749438.544109503,EUR
GIRR_DELTA,JPY,,XCCY,Libor3m EUR,190858.2448154246,JPY
GIRR_DELTA,JPY,,1Y,Libor3m EUR,619620.0668689179,EUR
GIRR_DELTA,GBP,,1Y,XCCY USD,183534.34623965764,USD
GIRR_DELTA,GBP,,10Y,XCCY USD,772735.1457066041,JPY
GIRR_DELTA,GBP,,10Y,OIS USD,594531.0217925444,USD
GIRR_DELTA,JPY,,XCCY,XCCY USD,171817.8063719095,USD
GIRR_DELTA,USD,,INFL,Libor3m EUR,53398.06085946634,JPY
GIRR_DELTA,GBP,,INFL,Libor3m EUR,317699.01684527413,USD
GIRR_DELTA,EUR,,5Y,Libor3m EUR,284031.5721770973,USD
GIRR_DELTA,GBP,,INFL,Libor3m EUR,103778.50978797881,EUR
GIRR_DELTA,JPY,,XCCY,INFL USD,397920.5223213271,USD
GIRR_DELTA,USD,,INFL,Libor3m EUR,257048.88704296085,JPY
GIRR_DELTA,EUR,,XCCY,INFL USD,423560.4008100608,JPY
GIRR_DELTA,JPY,,XCCY,Libor3m EUR,418328.7991463511,EUR
GIRR_DELTA,GBP,,5Y,Libor3m EUR,260395.10790361915,JPY
GIRR_DELTA,USD,,1Y,INFL USD,720284.7187243707,EUR
GIRR_DELTA,USD,,5Y,XCCY USD,380555.02718062146,USD
GIRR_DELTA,JPY,,INFL,Libor3m EUR,700281.2095336221,EUR
GIRR_DELTA,JPY,,1Y,XCCY USD,187389.38661692018,EUR
GIRR_DELTA,JPY,,5Y,OIS USD,208978.45222824143,EUR
GIRR_DELTA,EUR,,5Y,INFL USD,294116.80415939586,USD
GIRR_DELTA,EUR,,XCCY,OIS USD,95144.2798235391,USD
GIRR_DELTA,JPY,,INFL,Libor3m EUR,744776.099406443,USD
GIRR_DELTA,EUR,,1Y,INFL USD,619564.0424412073,EUR
GIRR_DELTA,USD,,XCCY,INFL USD,137916.89603888823,EUR
GIRR_DELTA,GBP,,INFL,Libor3m EUR,682671.4529067468,EUR
GIRR_DELTA,EUR,,1Y,XCCY USD,556663.8217017597,EUR
GIRR_DELTA,EUR,,10Y,Libor3m EUR,979581.9384104689,USD
GIRR_DELTA,GBP,,5Y,XCCY USD,223551.48627432738,USD
GIRR_DELTA,USD,,INFL,INFL USD,63156.87854145802,EUR
GIRR_DELTA,EUR,,1Y,XCCY USD,11163.269510144726,JPY
GIRR_DELTA,EUR,,XCCY,INFL USD,282853.1249117584,USD
GIRR_DELTA,EUR,,1Y,INFL USD,351985.09708246833,GBP
GIRR_DELTA,EUR,,INFL,INFL USD,344329.41225967574,JPY
GIRR_DELTA,GBP,,INFL,Libor3m EUR,264242.95831814676,USD
GIRR_DELTA,EUR,,XCCY,OIS USD,186430.94139326466,JPY
GIRR_DELTA,EUR,,XCCY,XCCY USD,724412.9494636887,EUR
GIRR_DELTA,EUR,,10Y,OIS USD,617609.5009983467,USD
GIRR_DELTA,JPY,,XCCY,Libor3m EUR,247856.322705183,JPY
GIRR_DELTA,GBP,,5Y,INFL USD,484309.5767019545,USD
GIRR_DELTA,GBP,,XCCY,XCCY USD,772320.0060998335,GBP
GIRR_DELTA,USD,,1Y,OIS USD,278636.3751324825,EUR
