RiskType,Qualifier,Bucket,Label1,Label2,Amount,AmountCurrency
GIRR_VEGA,EUR,,1M,2Y,309283.89537311747,JPY
GIRR_VEGA,JPY,,6M,INFL,77225.81991743828,USD
GIRR_VEGA,JPY,,1Y,INFL,278246.3032062577,EUR
GIRR_VEGA,USD,,1M,5Y,548966.2208591985,USD
GIRR_VEGA,GBP,,6M,5Y,524541.8094192559,EUR
GIRR_VEGA,EUR,,1M,2Y,811375.3532551598,USD
GIRR_VEGA,GBP,,6M,2Y,550964.7814271707,GBP
GIRR_VEGA,EUR,,1M,XCCY,509145.54791645927,USD
GIRR_VEGA,USD,,1M,INFL,458119.5278365784,GBP
GIRR_VEGA,JPY,,1M,5Y,902861.2407936207,GBP
GIRR_VEGA,EUR,,1Y,XCCY,311907.2293316237,EUR
GIRR_VEGA,GBP,,6M,2Y,888434.8349437688,USD
GIRR_VEGA,JPY,,1Y,XCCY,909158.3519200739,GBP
GIRR_VEGA,USD,,1Y,INFL,424685.22020576766,JPY
GIRR_VEGA,JPY,,1Y,XCCY,601299.5592932318,USD
GIRR_VEGA,USD,,6M,5Y,320945.36536541604,JPY
GIRR_VEGA,USD,,1Y,2Y,916034.5580446437,USD
GIRR_VEGA,JPY,,6M,5Y,925124.6368545353,EUR
GIRR_VEGA,USD,,6M,5Y,946405.5880333757,GBP
GIRR_VEGA,EUR,,1M,5Y,917308.9373146066,GBP
GIRR_VEGA,USD,,6M,5Y,792828.1497864845,EUR
GIRR_VEGA,JPY,,1Y,2Y,509021.2606397174,GBP
GIRR_VEGA,USD,,1Y,INFL,238579.50847283885,EUR
GIRR_VEGA,JPY,,1Y,2Y,780475.3960569003,GBP
GIRR_VEGA,GBP,,6M,5Y,872158.1752877018,EUR
GIRR_VEGA,GBP,,6M,XCCY,229620.72625114565,EUR
GIRR_VEGA,JPY,,1Y,5Y,743839.3580322659,EUR
GIRR_VEGA,JPY,,1Y,2Y,845184.2726592857,JPY
GIRR_VEGA,USD,,1M,2Y,943898.5271833051,USD
GIRR_VEGA,EUR,,1Y,2Y,190279.87980772209,EUR
GIRR_VEGA,EUR,,1M,2Y,858029.8075567734,USD
GIRR_VEGA,EUR,,1M,INFL,237146.79096362612,USD
GIRR_VEGA,GBP,,1M,5Y,75519.61145438664,USD
GIRR_VEGA,JPY,,1M,XCCY,720744.6235970547,USD
GIRR_VEGA,JPY,,1Y,5Y,706135.9739478164,GBP
GIRR_VEGA,JPY,,1Y,2Y,439730.38632158225,GBP
GIRR_VEGA,EUR,,1Y,2Y,705632.4880322046,USD
GIRR_VEGA,GBP,,6M,XCCY,465177.4468454418,EUR
GIRR_VEGA,EUR,,1M,2Y,80168.73330097212,EUR
GIRR_VEGA,USD,,1M,5Y,956426.4736327482,JPY
GIRR_VEGA,USD,,1M,XCCY,880167.7179975034,USD
GIRR_VEGA,EUR,,1Y,INFL,546557.4442226978,EUR
GIRR_VEGA,JPY,,1Y,5Y,93829.83940253954,GBP
GIRR_VEGA,GBP,,1M,2Y,155095.33882638725,JPY
GIRR_VEGA,GBP,,1M,2Y,584567.0040351059,GBP
GIRR_VEGA,JPY,,6M,5Y,879598.3436450056,JPY
GIRR_VEGA,GBP,,6M,XCCY,896786.4328784826,JPY
GIRR_VEGA,USD,,6M,5Y,664580.5947902699,JPY
GIRR_VEGA,JPY,,1M,5Y,797100.6930276365,JPY
GIRR_VEGA,GBP,,1M,2Y,753131.7144108121,GBP
GIRR_VEGA,USD,,1M,INFL,450543.0960189672,JPY
GIRR_VEGA,USD,,1M,INFL,904784.8576111428,USD
GIRR_VEGA,USD,,1M,5Y,883328.8357024958,EUR
GIRR_VEGA,USD,,1Y,5Y,458979.248658027,GBP
GIRR_VEGA,JPY,,1M,5Y,741761.3764717153,USD
GIRR_VEGA,USD,,1M,XCCY,985237.3821030966,JPY
GIRR_VEGA,JPY,,1Y,2Y,25022.38609212995,EUR
GIRR_VEGA,USD,,6M,XCCY,56448.29371000605,EUR
GIRR_VEGA,JPY,,6M,INFL,560497.7371777003,JPY
GIRR_VEGA,JPY,,6M,INFL,891451.844766479,USD
GIRR_VEGA,JPY,,1M,INFL,412050.99473551346,JPY
GIRR_VEGA,GBP,,1M,2Y,547219.1417071706,EUR
GIRR_VEGA,EUR,,6M,5Y,797947.1330038888,GBP
GIRR_VEGA,GBP,,1Y,5Y,521361.5196119561,JPY
GIRR_VEGA,GBP,,6M,XCCY,753551.6772569088,JPY
GIRR_VEGA,USD,,6M,INFL,500895.8599779267,GBP
GIRR_VEGA,USD,,1Y,5Y,143634.25290430416,EUR
GIRR_VEGA,GBP,,1Y,INFL,356240.18114760023,GBP
GIRR_VEGA,USD,,6M,INFL,250459.6525859056,EUR
GIRR_VEGA,EUR,,1M,5Y,549120.3276407212,JPY
GIRR_VEGA,EUR,,1M,2Y,59746.22591920775,JPY
